interaction_id,timestamp,position,clicked,quoted,purchased,uw_decline_reason,user_id,policy_id,age,sex,smoker_flag,occupation_class,region_code,monthly_budget,insurance_company,product_name,product_type,coverage_amount,male_premium,female_premium,fixed_rate,current_rate,min_guaranteed_rate,surrender_value,renewal_cycle,universal,sales_channel,sales_date,contact_number
imp_000029,2025-08-31 11:50:54,5,0,0,0,,user_0426,88,54,F,0,1,47,81345,NH농협생명,"새로나온NH암보험(비갱신형, 순수보장형, 무배당)_2404",주계약,"3,000만원",53700,42600,2.50 %,-,-,순수보장,비갱신형,비유니버셜,대면채널  방카슈랑스,2024-05-02,1544-4000
imp_000030,2025-08-18 11:03:54,3,0,0,0,,user_0129,42,24,M,0,1,11,75803,메트라이프생명,무배당 360 암보험(갱신형),주계약,"3,000만원",15000,9900,2.75 %,-,-,순수보장,갱신형,비유니버셜,대면채널,2025-04-01,1588-9600
imp_000031,2025-08-03 15:42:54,2,1,0,0,,user_0462,17,36,M,0,0,26,28892,흥국생명,(무)흥국생명다재다능종합보험(해약환급금미지급형V2),주계약,"3,000만원",19440,16062,3.00 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,TM,2025-04-01,1588-2288
imp_000032,2025-09-13 14:02:54,1,1,0,0,,user_0265,31,45,F,0,0,11,48230,미래에셋생명,온라인 더 잘고른 미니암보험 무배당,주계약,"1,000만원 (단, [여성형]은 500만원)",1796,3038,2.00 %,-,-,순수보장,비갱신형,비유니버셜,CM,2025-06-28,1588-0220
imp_000033,2025-09-08 10:21:54,3,0,0,0,,user_0974,34,65,F,0,0,47,44778,KDB생명,(무)KDB다이렉트 암보험(갱신형),주계약,"1,000만원",3190,3280,2.50 %,-,-,순수보장,갱신형,비유니버셜,CM,2025-04-01,1588-4040
imp_000034,2025-07-19 15:44:54,1,0,0,0,,user_0292,77,61,M,0,1,31,34695,라이나생명,(무)THE간편한첫날부터라이나암보험(갱신형),주계약,"1,000만원",7100,7900,2.25 %,-,-,순수보장,갱신형,비유니버셜,TM,2025-04-01,15880058
imp_000035,2025-06-21 11:03:54,1,0,0,0,,user_0518,55,34,F,0,1,31,74507,신한라이프생명,신한SOL암보험(무배당),주계약,"3,000만원",33120,24030,2.25 %,-,-,순수보장,비갱신형,비유니버셜,CM,2025-09-01,1588-5580
imp_000036,2025-07-16 15:09:54,3,0,0,0,,user_0917,44,46,M,0,0,43,123777,메트라이프생명,무배당 메트라이프 폐암및후두암진단보험,주계약,500만원,1050,1100,2.30 %,-,-,순수보장,비갱신형,비유니버셜,CM,2024-04-01,1588-9600
imp_000037,2025-07-18 12:54:54,2,0,0,0,,user_0239,79,44,F,0,0,49,97973,라이나생명,(무)라이나다이렉트암보험(갱신형),주계약,"3,000만원",10767,13386,2.25 %,-,-,순수보장,갱신형,비유니버셜,CM,2025-01-01,15880058
imp_000038,2025-09-13 17:26:54,1,0,0,0,,user_0274,17,22,M,0,0,27,69826,흥국생명,(무)흥국생명다재다능종합보험(해약환급금미지급형V2),주계약,"3,000만원",19440,16062,3.00 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,TM,2025-04-01,1588-2288
imp_000039,2025-08-21 19:09:54,4,1,0,0,,user_0301,79,34,F,0,0,42,58458,라이나생명,(무)라이나다이렉트암보험(갱신형),주계약,"3,000만원",10767,13386,2.25 %,-,-,순수보장,갱신형,비유니버셜,CM,2025-01-01,15880058
imp_000040,2025-08-29 07:44:54,1,1,0,0,,user_0234,36,54,F,0,1,46,119629,KDB생명,(무)KDB다이렉트 암보험(표준형),주계약,"1,000만원",12160,8130,2.75 %,-,-,순수보장,비갱신형,비유니버셜,CM,2025-04-01,1588-4040
imp_000041,2025-08-29 12:12:54,2,0,0,0,,user_0494,52,42,F,0,0,43,110918,KB라이프생명,KB 착한암보험 무배당(해약환급금 미지급형),주계약,"3,000만원",26820,15330,2.50 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,CM,2025-09-01,1588-3374
imp_000042,2025-07-17 09:19:54,1,0,0,0,,user_0868,53,49,M,0,0,30,127704,KB라이프생명,KB toss착한암보험 무배당,주계약,"3,000만원",27600,15600,2.50 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,CM,2025-09-01,1588-3374
imp_000043,2025-06-23 09:53:54,1,1,0,0,,user_0807,45,20,F,0,0,36,75409,메트라이프생명,무배당 메트라이프 위암및식도암진단보험,주계약,500만원,2150,2150,2.30 %,-,-,순수보장,비갱신형,비유니버셜,CM,2024-04-01,1588-9600
imp_000044,2025-08-08 15:50:54,2,0,0,0,,user_0805,24,34,M,0,1,31,75213,교보생명,"교보암보험 [D2408](무배당,갱신형)",주계약,"3,000만원",13530,14280,2.00 %,-,-,순수보장,갱신형,비유니버셜,TM,2025-04-01,1588-1001
imp_000045,2025-07-15 07:09:54,2,0,0,0,,user_0785,5,39,F,0,0,36,55702,한화생명,한화생명 e시그니처암보험 무배당,주계약,"3,000만원",31842,23961,2.75 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,CM,2025-09-01,1588-6363
imp_000046,2025-07-11 09:31:54,1,1,1,0,,user_0602,33,67,F,0,0,46,30367,KDB생명,(무)암만생각해도 KDB암보험 2.0(표준형),주계약,100만원,1280,860,2.75 %,-,-,순수보장,비갱신형,비유니버셜,대면채널  TM,2025-04-01,1588-4040
imp_000047,2025-09-16 13:43:54,2,0,0,0,,user_0535,67,42,F,0,0,45,85419,라이나생명,무배당라이나퍼펙트케어암보험(갱신형),주계약,"3,000만원",13200,25500,2.25 %,-,-,순수보장,갱신형,비유니버셜,대면채널  TM,2025-05-19,1588-0058
imp_000048,2025-07-25 14:53:54,6,0,0,0,,user_0821,24,34,M,0,0,46,28025,교보생명,"교보암보험 [D2408](무배당,갱신형)",주계약,"3,000만원",13530,14280,2.00 %,-,-,순수보장,갱신형,비유니버셜,TM,2025-04-01,1588-1001
imp_000049,2025-08-21 16:23:54,1,0,0,0,,user_0554,46,51,F,0,0,36,84163,메트라이프생명,무배당 메트라이프 대장암및소장암진단보험,주계약,500만원,2950,2300,2.30 %,-,-,순수보장,비갱신형,비유니버셜,CM,2024-04-01,1588-9600
imp_000050,2025-08-10 16:49:54,3,0,0,0,,user_0453,19,50,M,1,0,43,96784,교보생명,교보간편통합암보험 [D](무배당),주계약,"3,000만원",68850,46650,2.50 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,TM,2025-04-01,1588-1001
imp_000051,2025-09-12 17:29:54,1,0,0,0,,user_0662,42,45,F,1,0,36,45935,메트라이프생명,무배당 360 암보험(갱신형),주계약,"3,000만원",15000,9900,2.75 %,-,-,순수보장,갱신형,비유니버셜,대면채널,2025-04-01,1588-9600
imp_000052,2025-08-15 15:07:54,5,0,0,0,,user_0160,94,40,F,0,1,42,159162,교보라이프플래닛생명,"(무)교보라플 비갱신암보험(해약환급금 미지급형, 비흡연체)",주계약,"3,000만원",35760,26550,2.50 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,CM,2025-09-01,1566-0999
imp_000053,2025-06-22 16:34:54,7,0,0,0,,user_0717,40,32,M,0,1,27,66662,동양생명,무배당수호천사NEW실속플러스하나로암보험,주계약,"2,000만원",39400,32400,3.00 %,-,-,순수보장,비갱신형,비유니버셜,대면채널  TM  기타,2024-04-01,1577-1004
imp_000054,2025-07-28 11:56:54,3,0,0,0,,user_0865,79,62,M,1,0,41,50673,라이나생명,(무)라이나다이렉트암보험(갱신형),주계약,"3,000만원",10767,13386,2.25 %,-,-,순수보장,갱신형,비유니버셜,CM,2025-01-01,15880058
imp_000055,2025-09-13 09:18:54,5,0,0,0,,user_0017,33,43,F,0,0,31,79763,KDB생명,(무)암만생각해도 KDB암보험 2.0(표준형),주계약,100만원,1280,860,2.75 %,-,-,순수보장,비갱신형,비유니버셜,대면채널  TM,2025-04-01,1588-4040
imp_000056,2025-07-03 14:55:54,1,0,0,0,,user_0135,44,57,F,0,0,31,68981,메트라이프생명,무배당 메트라이프 폐암및후두암진단보험,주계약,500만원,1050,1100,2.30 %,-,-,순수보장,비갱신형,비유니버셜,CM,2024-04-01,1588-9600
imp_000057,2025-06-26 16:13:54,2,0,0,0,,user_0519,31,20,F,0,0,46,55541,미래에셋생명,온라인 더 잘고른 미니암보험 무배당,주계약,"1,000만원 (단, [여성형]은 500만원)",1796,3038,2.00 %,-,-,순수보장,비갱신형,비유니버셜,CM,2025-06-28,1588-0220
imp_000058,2025-08-08 13:33:54,7,1,0,0,,user_0919,24,38,M,0,0,30,78954,교보생명,"교보암보험 [D2408](무배당,갱신형)",주계약,"3,000만원",13530,14280,2.00 %,-,-,순수보장,갱신형,비유니버셜,TM,2025-04-01,1588-1001
imp_000059,2025-08-12 15:19:54,3,0,0,0,,user_0373,24,48,F,0,0,47,103971,교보생명,"교보암보험 [D2408](무배당,갱신형)",주계약,"3,000만원",13530,14280,2.00 %,-,-,순수보장,갱신형,비유니버셜,TM,2025-04-01,1588-1001
imp_000060,2025-07-02 09:55:54,4,0,0,0,,user_0516,67,51,M,0,0,46,71431,라이나생명,무배당라이나퍼펙트케어암보험(갱신형),주계약,"3,000만원",13200,25500,2.25 %,-,-,순수보장,갱신형,비유니버셜,대면채널  TM,2025-05-19,1588-0058
imp_000061,2025-09-03 17:35:54,3,0,0,0,,user_0379,58,39,M,0,0,36,53091,신한라이프생명,"신한(간편가입)케어받는암보험(무배당, 갱신형)",주계약,"3,000만원",14700,15270,2.25 %,-,-,순수보장,갱신형,비유니버셜,대면채널  TM,2025-09-01,1588-5580
imp_000062,2025-07-22 19:10:54,1,1,0,0,,user_0090,44,42,F,0,0,36,133398,메트라이프생명,무배당 메트라이프 폐암및후두암진단보험,주계약,500만원,1050,1100,2.30 %,-,-,순수보장,비갱신형,비유니버셜,CM,2024-04-01,1588-9600
imp_000063,2025-08-18 09:28:54,3,1,0,0,,user_0973,17,39,M,0,0,43,39698,흥국생명,(무)흥국생명다재다능종합보험(해약환급금미지급형V2),주계약,"3,000만원",19440,16062,3.00 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,TM,2025-04-01,1588-2288
imp_000064,2025-07-24 18:28:54,1,0,0,0,,user_0379,12,39,M,0,0,36,53091,ABL생명,무배당 ABL인터넷나를위한5대미니암보험,주계약,"1,000만원",956,713,2.50 %,-,-,순수보장,비갱신형,비유니버셜,CM,2024-04-01,0215886500
imp_000065,2025-07-09 11:24:54,1,1,0,0,,user_0163,48,61,M,1,1,27,95408,KB라이프생명,KB 생활든든암보험 무배당(갱신형)(일반심사형),주계약,"3,000만원 원",12570,6510,2.50 %,-,-,순수보장,갱신형,비유니버셜,대면채널,2025-09-01,1588-3374
imp_000066,2025-08-21 07:26:54,4,0,0,0,,user_0643,10,41,F,0,0,49,57363,한화생명,한화생명 간편가입 e시그니처암보험 무배당,주계약,"1,000만원",14232,10243,2.75 %,-,-,순수보장,비갱신형,비유니버셜,CM,2025-09-01,1588-6363
imp_000067,2025-07-27 14:02:54,3,0,0,0,,user_0693,87,54,F,0,0,43,79527,NH농협생명,"NHe편한암보험(갱신형,비갱신형,무배당)_(갱신형, 일반가입형)",주계약,"3,000만원",21000,17700,2.50 %,-,-,순수보장,갱신형,비유니버셜,CM,2025-01-01,1544-4000
imp_000068,2025-07-10 13:24:54,5,1,0,0,,user_0549,31,56,F,0,1,45,90789,미래에셋생명,온라인 더 잘고른 미니암보험 무배당,주계약,"1,000만원 (단, [여성형]은 500만원)",1796,3038,2.00 %,-,-,순수보장,비갱신형,비유니버셜,CM,2025-06-28,1588-0220
imp_000069,2025-07-20 16:49:54,2,0,0,0,,user_0410,49,43,F,0,0,47,85425,KB라이프생명,KB 계획이다있는여성암보험 무배당,주계약,"3,000만원",0,18810,2.50 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,CM,2025-09-01,1588-3374
imp_000070,2025-08-14 06:57:54,1,1,1,1,,user_0308,2,32,F,0,0,46,89038,한화생명,한화생명 간편가입 Need AI 암보험 무배당,주계약,500만원,7200,6000,2.75 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,대면채널,2025-09-01,1588-6363
imp_000071,2025-06-25 19:18:54,1,0,0,0,,user_0036,65,46,F,0,0,44,75187,푸본현대생명,ZERO 걱정없는 암보험 무배당/갱신형(2404),주계약,"3,000만원",13800,9000,2.60 %,-,-,순수보장,갱신형,비유니버셜,대면채널  TM,2025-01-01,1577-3311
imp_000072,2025-09-11 18:38:54,1,0,0,0,,user_0167,72,42,F,0,1,46,92316,라이나생명,무배당뉴스타트플러스암보험(갱신형)_2형(일반형),주계약,"3,000만원",10200,12600,2.25 %,-,-,순수보장,갱신형,비유니버셜,TM,2025-01-01,15880058
imp_000073,2025-07-11 09:53:54,1,1,0,0,,user_0303,43,54,M,0,0,31,66301,메트라이프생명,무배당 메트라이프 간암및췌장암진단보험,주계약,500만원,1900,1100,2.30 %,-,-,순수보장,비갱신형,비유니버셜,CM,2024-04-01,1588-9600
imp_000074,2025-07-06 09:50:54,1,0,0,0,,user_0617,8,38,M,1,0,45,93731,한화생명,한화생명 시그니처H암보험 무배당,주계약,500만원,5100,3600,2.75 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,대면채널,2025-09-01,1588-6363
imp_000075,2025-07-17 07:07:54,1,1,0,0,,user_0485,28,42,M,0,0,30,46534,미래에셋생명,온라인 암보험 무배당 [갱신형],주계약,"3,000만원",6450,7650,2.25 %,-,-,순수보장,갱신형,비유니버셜,CM,2025-06-28,1588-0220
imp_000076,2025-08-04 13:19:54,8,0,0,0,,user_0229,11,23,F,0,0,41,30127,한화생명,한화생명 e암보험(비갱신형) 무배당 (비흡연체형),주계약,"3,000만원",30180,24870,2.75 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,CM,2025-01-01,1588-6363
imp_000077,2025-07-16 08:14:54,9,0,0,0,,user_0941,80,31,F,0,0,31,45688,AIA생명,(무) AIA 건강+ 암보험 (갱신형) 1형,주계약,"3,000만원",27600,26700,2.25 %,-,-,순수보장,갱신형,비유니버셜,대면채널  TM,2025-09-01,1588-9898
imp_000078,2025-08-30 10:41:54,5,0,0,0,,user_0847,72,52,F,0,0,42,70140,라이나생명,무배당뉴스타트플러스암보험(갱신형)_2형(일반형),주계약,"3,000만원",10200,12600,2.25 %,-,-,순수보장,갱신형,비유니버셜,TM,2025-01-01,15880058
imp_000079,2025-07-11 15:04:54,1,0,0,0,,user_0913,12,45,M,0,0,48,58444,ABL생명,무배당 ABL인터넷나를위한5대미니암보험,주계약,"1,000만원",956,713,2.50 %,-,-,순수보장,비갱신형,비유니버셜,CM,2024-04-01,0215886500
imp_000080,2025-07-02 16:07:54,4,0,0,0,,user_0358,48,63,F,0,2,36,94755,KB라이프생명,KB 생활든든암보험 무배당(갱신형)(일반심사형),주계약,"3,000만원 원",12570,6510,2.50 %,-,-,순수보장,갱신형,비유니버셜,대면채널,2025-09-01,1588-3374
imp_000081,2025-08-16 13:32:54,3,0,0,0,,user_0001,7,37,F,0,0,44,65388,한화생명,한화생명 간편가입 시그니처H암보험 무배당,주계약,500만원,6800,4900,2.75 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,대면채널,2025-09-01,1588-6363
imp_000082,2025-08-04 16:12:54,2,0,0,0,,user_0457,31,51,M,0,0,26,76488,미래에셋생명,온라인 더 잘고른 미니암보험 무배당,주계약,"1,000만원 (단, [여성형]은 500만원)",1796,3038,2.00 %,-,-,순수보장,비갱신형,비유니버셜,CM,2025-06-28,1588-0220
imp_000083,2025-07-26 09:49:54,1,0,0,0,,user_0900,50,48,M,0,0,29,92925,KB라이프생명,KB 계획이다있는여성암보험 무배당(해약환급금 미지급형),주계약,"3,000만원",0,18480,2.50 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,CM,2025-09-01,1588-3374
imp_000084,2025-09-07 12:35:54,1,1,0,0,,user_0977,31,44,F,0,0,41,102304,미래에셋생명,온라인 더 잘고른 미니암보험 무배당,주계약,"1,000만원 (단, [여성형]은 500만원)",1796,3038,2.00 %,-,-,순수보장,비갱신형,비유니버셜,CM,2025-06-28,1588-0220
imp_000085,2025-08-05 17:58:54,1,0,0,0,,user_0100,52,27,M,0,1,44,54523,KB라이프생명,KB 착한암보험 무배당(해약환급금 미지급형),주계약,"3,000만원",26820,15330,2.50 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,CM,2025-09-01,1588-3374
imp_000086,2025-07-09 11:20:54,4,0,0,0,,user_0203,12,28,F,0,0,45,59817,ABL생명,무배당 ABL인터넷나를위한5대미니암보험,주계약,"1,000만원",956,713,2.50 %,-,-,순수보장,비갱신형,비유니버셜,CM,2024-04-01,0215886500
imp_000087,2025-06-26 16:57:54,1,0,0,0,,user_0998,7,45,M,1,1,41,44949,한화생명,한화생명 간편가입 시그니처H암보험 무배당,주계약,500만원,6800,4900,2.75 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,대면채널,2025-09-01,1588-6363
imp_000088,2025-08-04 09:45:54,3,1,0,0,,user_0722,16,43,F,0,0,48,37236,삼성생명,"삼성 인터넷암보험(2404)(갱신형,무배당)",주계약,"2,500만원",12750,15500,2.00 %,-,-,순수보장,갱신형,비유니버셜,CM,2024-04-01,1588-3114
imp_000089,2025-07-23 16:08:54,7,0,0,0,,user_0362,7,48,F,0,0,42,36063,한화생명,한화생명 간편가입 시그니처H암보험 무배당,주계약,500만원,6800,4900,2.75 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,대면채널,2025-09-01,1588-6363
imp_000090,2025-08-27 10:32:54,4,0,0,0,,user_0948,73,36,F,0,0,46,40672,라이나생명,무배당뉴스타트플러스암보험(갱신형)_1형(플러스형),주계약,"3,000만원",10500,19800,2.25 %,-,-,순수보장,갱신형,비유니버셜,TM,2025-01-01,15880058
imp_000091,2025-08-14 08:09:54,3,0,0,0,,user_0242,65,42,M,0,0,27,97834,푸본현대생명,ZERO 걱정없는 암보험 무배당/갱신형(2404),주계약,"3,000만원",13800,9000,2.60 %,-,-,순수보장,갱신형,비유니버셜,대면채널  TM,2025-01-01,1577-3311
imp_000092,2025-08-21 08:28:54,1,0,0,0,,user_0095,17,39,M,1,0,43,38275,흥국생명,(무)흥국생명다재다능종합보험(해약환급금미지급형V2),주계약,"3,000만원",19440,16062,3.00 %,-,-,무해지/저해지환급,비갱신형,비유니버셜,TM,2025-04-01,1588-2288
imp_000093,2025-09-09 17:23:54,5,0,0,0,,user_0850,30,66,F,0,1,42,30964,미래에셋생명,온라인 암보험 무배당 [기본형],주계약,"3,000만원",34380,23070,2.25 %,-,-,순수보장,비갱신형,비유니버셜,CM,2025-06-28,1588-0220
imp_000094,2025-08-18 06:49:54,3,0,0,0,,user_0900,31,48,M,0,0,29,92925,미래에셋생명,온라인 더 잘고른 미니암보험 무배당,주계약,"1,000만원 (단, [여성형]은 500만원)",1796,3038,2.00 %,-,-,순수보장,비갱신형,비유니버셜,CM,2025-06-28,1588-0220
imp_000095,2025-09-06 11:27:54,1,0,0,0,,user_0784,71,68,F,0,0,49,61061,라이나생명,(무)암걱정없는표적치료암보험(갱신형)_프리미엄형,주계약,"3,000만원",26700,37800,2.25 %,-,-,순수보장,갱신형,비유니버셜,대면채널  방카슈랑스,2025-01-01,15880058
imp_000096,2025-08-31 13:59:54,2,0,0,0,,user_0485,48,42,M,0,0,30,46534,KB라이프생명,KB 생활든든암보험 무배당(갱신형)(일반심사형),주계약,"3,000만원 원",12570,6510,2.50 %,-,-,순수보장,갱신형,비유니버셜,대면채널,2025-09-01,1588-3374
