interaction_id,user_id,policy_id,clicked,quoted,purchased,uw_decline_reason
imp_000172,user_0739,50,0,0,0,
imp_000173,user_0272,23,0,0,0,
imp_000174,user_0655,5,0,0,0,
imp_000175,user_0242,18,1,0,0,
imp_000176,user_0639,44,0,0,0,
imp_000177,user_0341,5,1,0,0,
imp_000178,user_0475,65,0,0,0,
imp_000179,user_0927,42,0,0,0,
imp_000180,user_0182,51,1,1,0,과거 질병 이력
imp_000181,user_0640,50,0,0,0,
imp_000182,user_0971,49,0,0,0,
imp_000183,user_0960,84,0,0,0,
imp_000184,user_0230,12,0,0,0,
imp_000185,user_0715,66,0,0,0,
imp_000186,user_0365,43,0,0,0,
imp_000187,user_0026,65,0,0,0,
imp_000188,user_0707,87,0,0,0,
imp_000189,user_0096,44,1,0,0,
imp_000190,user_0065,46,1,0,0,
imp_000191,user_0895,93,0,0,0,
imp_000192,user_0808,49,0,0,0,
imp_000193,user_0337,92,1,1,0,
imp_000194,user_0578,57,1,1,0,
imp_000195,user_0437,30,0,0,0,
imp_000196,user_0590,27,1,0,0,
imp_000197,user_0003,87,0,0,0,
imp_000198,user_0905,16,0,0,0,
imp_000199,user_0564,28,0,0,0,
imp_000200,user_0482,12,1,0,0,
imp_000201,user_0013,93,0,0,0,
imp_000202,user_0871,18,1,0,0,
imp_000203,user_0304,19,0,0,0,
imp_000204,user_0279,74,0,0,0,
imp_000205,user_0338,86,0,0,0,
imp_000206,user_0120,48,1,0,0,
imp_000207,user_0230,69,0,0,0,
imp_000208,user_0896,3,0,0,0,
imp_000209,user_0037,27,0,0,0,
imp_000210,user_0610,30,0,0,0,
imp_000211,user_0520,24,0,0,0,
imp_000212,user_0765,50,1,0,0,
imp_000213,user_0682,16,0,0,0,
imp_000214,user_0719,12,0,0,0,
imp_000215,user_0272,12,0,0,0,
imp_000216,user_0742,28,0,0,0,
imp_000217,user_0121,32,0,0,0,
imp_000218,user_0290,84,0,0,0,
imp_000219,user_0466,83,0,0,0,
imp_000220,user_0555,16,0,0,0,
imp_000221,user_0739,43,0,0,0,
imp_000222,user_0740,82,0,0,0,
imp_000223,user_0180,12,1,0,0,
imp_000224,user_0335,70,0,0,0,
imp_000225,user_0418,12,0,0,0,
imp_000226,user_0872,78,0,0,0,
imp_000227,user_0351,48,1,0,0,
imp_000228,user_0532,65,0,0,0,
imp_000229,user_0329,84,0,0,0,
imp_000230,user_0562,49,0,0,0,
imp_000231,user_0877,63,1,0,0,
imp_000232,user_0374,18,0,0,0,
imp_000233,user_0107,93,0,0,0,
imp_000234,user_0672,2,1,0,0,
imp_000235,user_0741,34,0,0,0,
imp_000236,user_0483,53,0,0,0,
imp_000237,user_0238,45,0,0,0,
imp_000238,user_0489,48,0,0,0,
imp_000239,user_0809,79,0,0,0,
imp_000240,user_0172,44,0,0,0,
imp_000241,user_0361,41,0,0,0,
imp_000242,user_0818,72,0,0,0,
imp_000243,user_0402,65,1,0,0,
imp_000244,user_0626,3,0,0,0,
imp_000245,user_0456,18,0,0,0,
imp_000246,user_0640,77,0,0,0,
imp_000247,user_0347,36,0,0,0,
imp_000248,user_0440,45,0,0,0,
imp_000249,user_0332,76,0,0,0,
imp_000250,user_0693,49,0,0,0,
imp_000251,user_0493,74,0,0,0,
imp_000252,user_0069,28,0,0,0,
imp_000253,user_0486,60,0,0,0,
imp_000254,user_0714,23,0,0,0,
imp_000255,user_0674,65,0,0,0,
imp_000256,user_0341,6,0,0,0,
imp_000257,user_0566,38,0,0,0,
imp_000258,user_0458,91,0,0,0,
imp_000259,user_0828,5,0,0,0,
imp_000260,user_0570,75,0,0,0,
imp_000261,user_0487,34,0,0,0,
imp_000262,user_0640,71,1,0,0,
imp_000263,user_0358,50,0,0,0,
imp_000264,user_0643,53,0,0,0,
imp_000265,user_0307,2,1,0,0,
imp_000266,user_0262,88,0,0,0,
imp_000267,user_0560,6,0,0,0,
imp_000268,user_0647,87,1,0,0,
imp_000269,user_0120,35,0,0,0,
imp_000270,user_0878,54,0,0,0,
imp_000271,user_0226,11,1,0,0,
imp_000272,user_0433,87,1,0,0,
imp_000273,user_0995,43,1,0,0,
imp_000274,user_0305,13,0,0,0,
imp_000275,user_0622,44,0,0,0,
imp_000276,user_0993,87,0,0,0,
imp_000277,user_0787,73,0,0,0,
imp_000278,user_0184,81,0,0,0,
imp_000279,user_0790,36,0,0,0,
imp_000280,user_0686,84,0,0,0,
imp_000281,user_0644,82,0,0,0,
imp_000282,user_0289,9,0,0,0,
imp_000283,user_0201,28,0,0,0,
imp_000284,user_0414,12,0,0,0,
imp_000285,user_0790,44,0,0,0,
imp_000286,user_0454,23,1,0,0,
imp_000287,user_0996,12,0,0,0,
imp_000288,user_0877,83,0,0,0,
imp_000289,user_0419,44,0,0,0,
imp_000290,user_0305,24,0,0,0,
imp_000291,user_0272,31,0,0,0,
imp_000292,user_0102,66,0,0,0,
imp_000293,user_0464,56,0,0,0,
imp_000294,user_0388,50,0,0,0,
imp_000295,user_0009,45,0,0,0,
imp_000296,user_0255,24,0,0,0,
imp_000297,user_0356,94,0,0,0,
imp_000298,user_0913,96,0,0,0,
imp_000299,user_0901,12,0,0,0,
imp_000300,user_0289,12,0,0,0,
imp_000301,user_0883,23,0,0,0,
imp_000302,user_0812,59,0,0,0,
imp_000303,user_0863,58,0,0,0,
imp_000304,user_0683,16,0,0,0,
imp_000305,user_0724,82,1,0,0,
imp_000306,user_0601,12,0,0,0,
imp_000307,user_0139,51,0,0,0,
imp_000308,user_0632,83,0,0,0,
imp_000309,user_0284,10,1,0,0,
imp_000310,user_0897,67,0,0,0,
imp_000311,user_0788,9,1,0,0,
imp_000312,user_0007,12,0,0,0,
imp_000313,user_0199,93,0,0,0,
imp_000314,user_0788,12,0,0,0,
imp_000315,user_0966,40,1,0,0,
imp_000316,user_0179,46,0,0,0,
imp_000317,user_0907,12,1,0,0,
imp_000318,user_0212,66,0,0,0,
imp_000319,user_0108,10,0,0,0,
imp_000320,user_0414,17,1,0,0,
imp_000321,user_0986,71,0,0,0,
imp_000322,user_0101,66,0,0,0,
imp_000323,user_0236,12,1,0,0,
imp_000324,user_0269,69,0,0,0,
imp_000325,user_0861,93,1,0,0,
imp_000326,user_0328,12,0,0,0,
imp_000327,user_0174,6,0,0,0,
imp_000328,user_0076,21,0,0,0,
imp_000329,user_0220,58,0,0,0,
imp_000330,user_0235,74,0,0,0,
imp_000331,user_1000,17,0,0,0,
imp_000332,user_0314,12,0,0,0,
imp_000333,user_0945,72,0,0,0,
imp_000334,user_0762,42,0,0,0,
imp_000335,user_0201,51,0,0,0,
imp_000336,user_0031,66,0,0,0,
imp_000337,user_0969,83,0,0,0,
imp_000338,user_0441,89,1,0,0,
imp_000339,user_0068,34,1,0,0,
imp_000340,user_0839,30,0,0,0,
imp_000341,user_0882,34,1,0,0,
imp_000342,user_0357,27,1,1,0,
imp_000343,user_0893,87,0,0,0,
imp_000344,user_0444,40,0,0,0,
imp_000345,user_0065,28,0,0,0,
imp_000346,user_0835,12,1,0,0,
imp_000347,user_0128,12,0,0,0,
imp_000348,user_0959,30,0,0,0,
imp_000349,user_0947,71,1,0,0,
imp_000350,user_0385,84,0,0,0,
imp_000351,user_0270,12,0,0,0,
imp_000352,user_0046,12,0,0,0,
imp_000353,user_0721,51,0,0,0,
imp_000354,user_0345,47,1,0,0,
imp_000355,user_0142,58,0,0,0,
imp_000356,user_0381,37,0,0,0,
imp_000357,user_0064,54,0,0,0,
imp_000358,user_0875,83,0,0,0,
imp_000359,user_0821,58,0,0,0,
imp_000360,user_0252,73,0,0,0,
imp_000361,user_0723,45,0,0,0,
imp_000362,user_0030,56,0,0,0,
imp_000363,user_0251,72,0,0,0,
imp_000364,user_0850,34,0,0,0,
imp_000365,user_0819,31,1,0,0,
imp_000366,user_0518,74,1,0,0,
imp_000367,user_0033,15,0,0,0,
imp_000368,user_0304,36,0,0,0,
imp_000369,user_0605,12,0,0,0,
imp_000370,user_0057,49,0,0,0,
imp_000371,user_0024,24,0,0,0,
imp_000372,user_0669,47,0,0,0,
imp_000373,user_0812,49,0,0,0,
imp_000374,user_0351,23,1,0,0,
imp_000375,user_0870,63,1,0,0,
imp_000376,user_0098,13,0,0,0,
imp_000377,user_0338,36,0,0,0,
imp_000378,user_0068,34,0,0,0,
imp_000379,user_0324,11,0,0,0,
imp_000380,user_0079,24,0,0,0,
imp_000381,user_0721,54,0,0,0,
imp_000382,user_0855,12,0,0,0,
imp_000383,user_0804,51,0,0,0,
imp_000384,user_0492,94,0,0,0,
imp_000385,user_0258,79,0,0,0,
imp_000386,user_0968,44,0,0,0,
imp_000387,user_0586,36,0,0,0,
imp_000388,user_0678,16,0,0,0,
imp_000389,user_0727,89,0,0,0,
imp_000390,user_0570,73,0,0,0,
imp_000391,user_0333,82,0,0,0,
imp_000392,user_0193,77,1,0,0,
imp_000393,user_0401,72,0,0,0,
imp_000394,user_0468,84,0,0,0,
imp_000395,user_0946,42,0,0,0,
imp_000396,user_0319,80,1,0,0,
imp_000397,user_0558,77,0,0,0,
imp_000398,user_0548,3,0,0,0,
imp_000399,user_0340,12,0,0,0,
imp_000400,user_0375,35,0,0,0,
imp_000401,user_0012,15,0,0,0,
imp_000402,user_0684,35,0,0,0,
imp_000403,user_0489,12,1,1,0,
imp_000404,user_0638,49,0,0,0,
imp_000405,user_0542,71,0,0,0,
imp_000406,user_0423,93,1,0,0,
imp_000407,user_0999,12,1,0,0,
imp_000408,user_0547,16,1,0,0,
imp_000409,user_0161,94,1,0,0,
imp_000410,user_0733,31,0,0,0,
imp_000411,user_0986,13,0,0,0,
imp_000412,user_0330,22,0,0,0,
imp_000413,user_0938,84,1,0,0,
imp_000414,user_0267,73,0,0,0,
imp_000415,user_0166,30,0,0,0,
imp_000416,user_0338,28,1,1,0,
imp_000417,user_0288,44,0,0,0,
imp_000418,user_0790,12,0,0,0,
imp_000419,user_0480,72,1,0,0,
imp_000420,user_0270,17,0,0,0,
imp_000421,user_0661,12,1,0,0,
imp_000422,user_0934,92,0,0,0,
imp_000423,user_0691,28,0,0,0,
imp_000424,user_0198,30,0,0,0,
imp_000425,user_0084,42,0,0,0,
imp_000426,user_0517,69,0,0,0,
imp_000427,user_0629,28,0,0,0,
imp_000428,user_0189,80,0,0,0,
imp_000429,user_0383,86,1,0,0,
imp_000430,user_0466,65,0,0,0,
imp_000431,user_0592,33,0,0,0,
imp_000432,user_0961,43,0,0,0,
imp_000433,user_0474,28,0,0,0,
imp_000434,user_0373,73,1,0,0,
imp_000435,user_0091,44,0,0,0,
imp_000436,user_0320,47,0,0,0,
imp_000437,user_0340,61,0,0,0,
imp_000438,user_0682,4,0,0,0,
imp_000439,user_0005,8,0,0,0,
imp_000440,user_0206,44,1,0,0,
imp_000441,user_0256,45,0,0,0,
imp_000442,user_0498,12,0,0,0,
imp_000443,user_0091,12,1,0,0,
imp_000444,user_0441,47,0,0,0,
imp_000445,user_0963,28,0,0,0,
imp_000446,user_0644,64,0,0,0,
imp_000447,user_0920,18,0,0,0,
imp_000448,user_0496,34,0,0,0,
imp_000449,user_0875,66,0,0,0,
imp_000450,user_0365,19,0,0,0,
imp_000451,user_0251,49,0,0,0,
imp_000452,user_0757,24,1,0,0,
imp_000453,user_0437,74,0,0,0,
imp_000454,user_0565,16,0,0,0,
imp_000455,user_0356,63,0,0,0,
imp_000456,user_0828,73,1,0,0,
imp_000457,user_0345,58,0,0,0,
imp_000458,user_0881,82,0,0,0,
imp_000459,user_0215,72,0,0,0,
imp_000460,user_0297,77,0,0,0,
imp_000461,user_0627,43,0,0,0,
imp_000462,user_0783,28,1,0,0,
imp_000463,user_0664,15,0,0,0,
imp_000464,user_0525,82,0,0,0,
imp_000465,user_0196,12,0,0,0,
imp_000466,user_0307,12,0,0,0,
imp_000467,user_0657,48,1,0,0,
imp_000468,user_0970,83,0,0,0,
imp_000469,user_0265,43,0,0,0,
imp_000470,user_0504,48,0,0,0,
imp_000471,user_0069,9,0,0,0,
imp_000472,user_0963,35,0,0,0,
imp_000473,user_0525,29,0,0,0,
imp_000474,user_0430,84,0,0,0,
imp_000475,user_0898,38,0,0,0,
imp_000476,user_0100,87,0,0,0,
imp_000477,user_0160,23,1,0,0,
imp_000478,user_0044,28,0,0,0,
imp_000479,user_0089,78,0,0,0,
imp_000480,user_0064,47,0,0,0,
imp_000481,user_0841,15,0,0,0,
imp_000482,user_0357,47,0,0,0,
imp_000483,user_0468,11,0,0,0,
imp_000484,user_0103,32,1,0,0,
imp_000485,user_0206,82,0,0,0,
imp_000486,user_0961,32,0,0,0,
imp_000487,user_0153,79,1,0,0,
imp_000488,user_0100,36,1,0,0,
imp_000489,user_0568,74,0,0,0,
imp_000490,user_0494,31,0,0,0,
imp_000491,user_0354,81,0,0,0,
imp_000492,user_0809,68,0,0,0,
imp_000493,user_0651,28,0,0,0,
imp_000494,user_0667,72,0,0,0,
imp_000495,user_0533,52,0,0,0,
imp_000496,user_0708,34,0,0,0,
imp_000497,user_0741,27,0,0,0,
imp_000498,user_0318,24,0,0,0,
imp_000499,user_0774,12,1,0,0,
imp_000500,user_0439,47,0,0,0,
imp_000501,user_0335,32,0,0,0,
imp_000502,user_0708,53,0,0,0,
imp_000503,user_0285,18,1,0,0,
imp_000504,user_0148,48,1,0,0,
imp_000505,user_0712,17,0,0,0,
imp_000506,user_0769,11,1,0,0,
imp_000507,user_0155,46,0,0,0,
imp_000508,user_0875,12,0,0,0,
imp_000509,user_0968,40,1,0,0,
imp_000510,user_0101,17,0,0,0,
imp_000511,user_0063,87,1,0,0,
imp_000512,user_0462,80,1,0,0,
imp_000513,user_0634,12,0,0,0,
imp_000514,user_0813,42,0,0,0,
imp_000515,user_0921,19,1,1,0,고위험 직업
imp_000516,user_0949,92,1,0,0,
imp_000517,user_0958,17,0,0,0,
imp_000518,user_0821,79,1,1,0,
imp_000519,user_0271,83,0,0,0,
imp_000520,user_0698,12,0,0,0,
imp_000521,user_0852,27,1,0,0,
imp_000522,user_0482,93,1,0,0,
imp_000523,user_0363,16,0,0,0,
imp_000524,user_0820,94,0,0,0,
imp_000525,user_0406,44,0,0,0,
imp_000526,user_0681,81,0,0,0,
imp_000527,user_0905,69,0,0,0,
imp_000528,user_0559,16,0,0,0,
imp_000529,user_0701,6,1,0,0,
imp_000530,user_0621,12,0,0,0,
imp_000531,user_0794,29,0,0,0,
imp_000532,user_0374,84,1,0,0,
imp_000533,user_0731,54,0,0,0,
imp_000534,user_0762,24,0,0,0,
imp_000535,user_0702,69,0,0,0,
imp_000536,user_0566,90,0,0,0,
imp_000537,user_0937,73,0,0,0,
imp_000538,user_0930,28,0,0,0,
imp_000539,user_0718,54,0,0,0,
imp_000540,user_0925,78,0,0,0,
imp_000541,user_0650,35,0,0,0,
imp_000542,user_0641,95,0,0,0,
imp_000543,user_0215,84,0,0,0,
imp_000544,user_0622,71,0,0,0,
imp_000545,user_0820,34,0,0,0,
imp_000546,user_0104,50,0,0,0,
imp_000547,user_0591,11,0,0,0,
imp_000548,user_0946,12,1,0,0,
imp_000549,user_0073,52,1,0,0,
imp_000550,user_0576,70,0,0,0,
imp_000551,user_0797,93,0,0,0,
imp_000552,user_0105,28,1,0,0,
imp_000553,user_0014,17,0,0,0,
imp_000554,user_0178,28,0,0,0,
imp_000555,user_0175,83,0,0,0,
imp_000556,user_0205,18,0,0,0,
imp_000557,user_0236,71,0,0,0,
imp_000558,user_0512,35,0,0,0,
imp_000559,user_0976,12,0,0,0,
imp_000560,user_0704,49,1,0,0,
imp_000561,user_0949,28,1,0,0,
imp_000562,user_0293,67,0,0,0,
imp_000563,user_0256,17,0,0,0,
imp_000564,user_0794,87,1,0,0,
imp_000565,user_0472,38,1,1,0,
imp_000566,user_0758,58,0,0,0,
imp_000567,user_0198,31,1,0,0,
imp_000568,user_0542,12,0,0,0,
imp_000569,user_0889,43,0,0,0,
imp_000570,user_0271,36,0,0,0,
imp_000571,user_0653,63,0,0,0,
imp_000572,user_0010,43,0,0,0,
imp_000573,user_0507,79,1,0,0,
imp_000574,user_0906,72,0,0,0,
imp_000575,user_0155,90,0,0,0,
imp_000576,user_0613,12,0,0,0,
imp_000577,user_0147,55,0,0,0,
imp_000578,user_0758,12,0,0,0,
imp_000579,user_0705,45,0,0,0,
imp_000580,user_0605,46,0,0,0,
imp_000581,user_0860,63,0,0,0,
imp_000582,user_0515,47,0,0,0,
imp_000583,user_0486,47,0,0,0,
imp_000584,user_0627,31,1,0,0,
imp_000585,user_0545,12,1,0,0,
imp_000586,user_0403,81,1,0,0,
imp_000587,user_0471,68,0,0,0,
imp_000588,user_0321,15,0,0,0,
imp_000589,user_0052,24,1,0,0,
imp_000590,user_0414,69,0,0,0,
imp_000591,user_0019,58,0,0,0,
imp_000592,user_0112,42,0,0,0,
imp_000593,user_0195,52,0,0,0,
imp_000594,user_0208,28,0,0,0,
imp_000595,user_0353,12,0,0,0,
imp_000596,user_0586,18,0,0,0,
imp_000597,user_0194,90,0,0,0,
imp_000598,user_0137,61,0,0,0,
imp_000599,user_0360,35,0,0,0,
imp_000600,user_0080,65,0,0,0,
imp_000601,user_0123,42,1,0,0,
imp_000602,user_0457,66,0,0,0,
imp_000603,user_0020,79,0,0,0,
imp_000604,user_0458,94,0,0,0,
imp_000605,user_0185,8,0,0,0,
imp_000606,user_0894,49,0,0,0,
imp_000607,user_0954,32,0,0,0,
imp_000608,user_0996,17,0,0,0,
imp_000609,user_0686,58,0,0,0,
imp_000610,user_0077,48,0,0,0,
imp_000611,user_0107,92,1,0,0,
imp_000612,user_0773,11,0,0,0,
imp_000613,user_0829,66,0,0,0,
imp_000614,user_0605,33,1,0,0,
imp_000615,user_0259,49,0,0,0,
imp_000616,user_0289,58,0,0,0,
imp_000617,user_0194,6,0,0,0,
imp_000618,user_0419,31,0,0,0,
imp_000619,user_0339,88,0,0,0,
imp_000620,user_0412,5,0,0,0,
imp_000621,user_0551,43,0,0,0,
imp_000622,user_0842,45,0,0,0,
imp_000623,user_0141,36,0,0,0,
imp_000624,user_0918,93,0,0,0,
imp_000625,user_0111,93,0,0,0,
imp_000626,user_0722,67,1,0,0,
imp_000627,user_0942,45,0,0,0,
imp_000628,user_0824,51,1,0,0,
imp_000629,user_0929,12,1,0,0,
imp_000630,user_0597,38,0,0,0,
imp_000631,user_0258,91,1,0,0,
imp_000632,user_0633,83,1,0,0,
imp_000633,user_0614,44,0,0,0,
imp_000634,user_0896,18,0,0,0,
imp_000635,user_0633,79,0,0,0,
imp_000636,user_0856,73,0,0,0,
imp_000637,user_0310,12,0,0,0,
imp_000638,user_0063,68,0,0,0,
imp_000639,user_0149,92,0,0,0,
imp_000640,user_0045,28,0,0,0,
imp_000641,user_0567,67,0,0,0,
imp_000642,user_0825,56,0,0,0,
imp_000643,user_0937,53,0,0,0,
imp_000644,user_0257,53,0,0,0,
imp_000645,user_0086,43,0,0,0,
imp_000646,user_0053,83,1,0,0,
imp_000647,user_0396,57,0,0,0,
imp_000648,user_0708,44,0,0,0,
imp_000649,user_0194,30,0,0,0,
imp_000650,user_0638,84,0,0,0,
imp_000651,user_0378,87,0,0,0,
imp_000652,user_0745,43,0,0,0,
imp_000653,user_0600,12,0,0,0,
imp_000654,user_0627,48,0,0,0,
imp_000655,user_0397,44,0,0,0,
imp_000656,user_0607,28,0,0,0,
imp_000657,user_0614,83,1,0,0,
imp_000658,user_0624,43,0,0,0,
imp_000659,user_0926,81,0,0,0,
imp_000660,user_0260,12,1,0,0,
imp_000661,user_0320,48,0,0,0,
imp_000662,user_0334,12,0,0,0,
imp_000663,user_0250,28,0,0,0,
imp_000664,user_0724,28,1,0,0,
imp_000665,user_0071,51,1,0,0,
imp_000666,user_0924,57,1,1,0,
imp_000667,user_0487,46,0,0,0,
imp_000668,user_0651,51,0,0,0,
imp_000669,user_0591,16,0,0,0,
imp_000670,user_0596,70,0,0,0,
imp_000671,user_0798,67,1,0,0,
imp_000672,user_0061,16,0,0,0,
imp_000673,user_0800,33,0,0,0,
imp_000674,user_0265,28,0,0,0,
imp_000675,user_0643,17,0,0,0,
imp_000676,user_0558,73,0,0,0,
imp_000677,user_0659,27,0,0,0,
imp_000678,user_0411,47,0,0,0,
imp_000679,user_0580,92,0,0,0,
imp_000680,user_0332,53,0,0,0,
imp_000681,user_0308,29,0,0,0,
imp_000682,user_0524,31,0,0,0,
imp_000683,user_0908,12,0,0,0,
imp_000684,user_0503,49,1,0,0,
imp_000685,user_0016,54,0,0,0,
imp_000686,user_0189,20,1,1,0,
imp_000687,user_0407,53,0,0,0,
imp_000688,user_0163,34,0,0,0,
imp_000689,user_0377,65,0,0,0,
imp_000690,user_0563,58,0,0,0,
imp_000691,user_0056,72,0,0,0,
imp_000692,user_0308,34,0,0,0,
imp_000693,user_0504,15,1,0,0,
imp_000694,user_0845,42,1,0,0,
imp_000695,user_0737,27,1,0,0,
