insurance_company,product_name,male_premium,female_premium,coverage_amount,renewal_cycle,special_notes
삼성생명,"삼성 초간편종합보장보험(2403)(갱신형,무배당)_1종(간편고지형)",1140,420,3000만원,갱신형,"□ 필수기재사항 1. 가입나이 : 최저 만15세 ~ 최대 85세 2. 보험기간 - 최초계약 : 15년만기 / 30년만기 - 갱신계약 : 1~15년만기 /1~30년만기 ※ 주계약의 최종 갱신계약의 보험기간 만료일은 피보험자의 100세 계약해당일의 전일 - 단, 일부 선택특약은 보험기간 상이 3. 보험료 예시기준 - 40세, 보험기간 15년만기 전기납(최대 100세), 월납, 위험지수 비위험, 최초계약 - 주보험 보험가입금액 3,000만원 □ 선택기재사항 1. 납입기간 : 전기납 2. 보험가격지수 예시기준 - 40세, 보험기간 15년 만기 전기납, 월납,위험지수 비위험, 가입금액 3,000만원, 최초계약 기준"
삼성생명,삼성 슬기로운 취미생활 상해보험(2501)(무배당),900,900,"1,000만원",비갱신형,"□ 필수기재사항 1. 가입나이 : -1종(골절수술보장형), 2종(스포츠안심보장형) : 20세~만64세 -3종(어린이골절수술보장형): 0세~ 만13세 2. 보험기간 : 1년 3. 보험료 예시기준 : 주보험 1종 보험가입금액 1,000만원, 40세, 남자, 1년만기, 일시납 □ 선택기재사항 1. 보험료 납입기간 : 일시납 2. 보험가격지수 예시 기준 : 주보험 1종 보험가입금액 1,000만원, 40세, 1년만기, 일시납"
삼성생명,삼성 슬기로운 취미생활 상해보험(2501)(무배당),900,900,"1,000만원",,
삼성생명,삼성 s교통상해보험(2501)(무배당),5700,3300,"3,000만원",비갱신형,"□ 필수기재사항 1. 가입나이 : 최저 만15세~만64세 2. 보험기간 : 1년만기 3. 보험료 예시기준(비위험) - 주계약 : 가입금액 3,000만원, 1년만기, 일시납 - 특약 : 가입금액 3,000만원, 1년만기, 일시납 □ 선택기재사항 1. 보험료 납입기간 : 일시납 2. 보험가격지수 예시기준 - 주계약 1종(교통재해사망보장형) 가입금액 3,000만원, 40세, 비위험, 1년만기, 일시납 ※ 교통재해장해특약(무배당)은 주보험 1종(교통재해사망보장형) 선택시 부가 가능 ※ 일반자동차탑승중교통재해장해특약(무배당)은 주보험 2종(일반자동차탑승중교통재해사망보장형) 선택시 부가 가능 ※ 대중교통재해장해특약(무배당)은 주보험 3종(대중교통재해사망보장형) 선택시 부가 가능"
삼성생명,삼성 s교통상해보험(2501)(무배당),2700,2100,"3,000만원",,
삼성생명,삼성 s교통상해보험(2501)(무배당),300,240,"3,000만원",,
삼성생명,삼성 마음모아 미니상해보험(2403)(무배당),4800,4000,"1,000만원",비갱신형,"□ 필수기재사항 1. 가입 나이 : 20세 ~ 만 64세 2. 보험 기간 : 1년 3. 보험료 예시 기준 : 납입기간 일시납, 40세, 가입금액 1,000만원 □ 선택기재사항 1. 가입한도 - 보험가입금액 : 500만원 ~ 1,000만원 2. 보험가격지수 예시기준 - 납입기간 일시납, 40세, 가입금액 1,000만원 "
삼성생명,삼성 마음모아 미니상해보험(2403)(무배당),4800,4000,"1,000만원",,
흥국생명,(무)흥국생명 다사랑3.10.5간편건강보험(해약환급금미지급형)(갱신형),1050,630,"3,000만원",갱신형,"1.가입나이: 만15세~80세(단 성별, 보험기간, 납입기간별 차등적용) 2.보험기간: 10년(단, 갱신계약의 경우 1~10년), 20년(단, 갱신계약의 경우 1~20년) 3.보험료 예시기준: 가입금액 3,000만원, 20년만기, 전기납,월납, 40세 (단, 자사 최대 가입한도는 1,000만원임)"
흥국생명,(무)흥국생명다사랑335간편건강보험(갱신형),1200,750,"3,000만원",갱신형,"1.가입나이: 만15세~80세(단 성별, 보험기간, 납입기간별 차등적용) 2.보험기간: 10년(단, 갱신계약의 경우 1~10년), 20년(단, 갱신계약의 경우 1~20년) 3.보험료 예시기준: 1종(납입면제미적용형), 335간편심사형,가입금액 3,000만원, 20년만기, 전기납,월납, 40세 (단, 자사 최대 가입한도는 1,000만원임) "
흥국생명,(무)흥국생명다사랑325간편건강보험(갱신형),1200,750,"3,000만원",갱신형,"1.가입나이: 만15세~80세(단 성별, 보험기간, 납입기간별 차등적용) 2.보험기간: 10년(단, 갱신계약의 경우 1~10년), 20년(단, 갱신계약의 경우 1~20년) 3.보험료 예시기준: 1종(납입면제미적용형), 325간편심사형,가입금액 3,000만원, 20년만기, 전기납,월납, 40세 (단, 자사 최대 가입한도는 1,000만원임) "
흥국생명,(무)흥국생명다사랑355간편건강보험(갱신형),1200,750,"3,000만원",갱신형,"1.가입나이: 만15세~80세(단 성별, 보험기간, 납입기간별 차등적용) 2.보험기간: 10년(단, 갱신계약의 경우 1~10년), 20년(단, 갱신계약의 경우 1~20년) 3.보험료 예시기준: 1종(납입면제미적용형), 355간편심사형,가입금액 3,000만원, 20년만기, 전기납,월납, 40세 (단, 자사 최대 가입한도는 1,000만원임)"
흥국생명,(무)처음만난흥국생명상해보험,3000,3000,10만원,비갱신형,"1. 가입나이 : 자녀형(0세~20세), 레저형 및 성인형(만15세~65세) 2. 보험기간 : 1년 3. 보험료 예시기준 : 1형(자녀형), 가입금액 1구좌(10만원), 1년만기, 일시납, 5세"
흥국생명,(무)처음만난흥국생명상해보험,10만원,3000,남자 300만원 × 해당 장해지급률 / 여자 600만원 × 해당 장해지급률,,
흥국생명,(무)처음만난흥국생명상해보험,3000,3000,10만원,,
흥국생명,(무)처음만난흥국생명상해보험,3000,3000,10만원,,
흥국생명,(무)흥국생명다재다능종합보험(해약환급금미지급형V2),1710,1440,"3,000만원",비갱신형,"1. 가입나이 : 0세 ~ 30세(단, 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 및 보험가격지수 산출기준 : 1종(해약환급금 미지급형V2), 1형(재해장해보장형), 가입금액 3,000만원, 5세, 100세만기, 20년납, 월납"
흥국생명,(무)흥국생명다재다능종합보험,1500,1230,"3,000만원",비갱신형,"1. 가입나이 : 0세 ~ 30세(단, 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 30세만기, 90세만기, 100세만기 3. 보험료 예시 및 보험가격지수 산출기준 : 2종(표준형), 1형(재해장해보장형), 가입금액 3,000만원, 5세, 100세만기, 20년납, 월납"
흥국생명,(무)흥국생명 안심케어보험2504_2종 4형,1155600,510000,"3,000만원",비갱신형,"1. 가입나이 : 만15세 ~ 70세(단 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 100세만기, 110세 만기 3. 보험료 예시기준 : 2종(표준형) 4형(상해보장형) 가입금액 3,000만원, 40세, 100세만기, 20년납, 월납 "
흥국생명,(무)흥국생명 안심케어보험2504_2종 4형,1155600,510000,"3,000만원",,
흥국생명,(무)흥국생명 안심케어보험2504(해약환급금일부지급형)_1종 4형,1067100,474300,"3,000만원",비갱신형,"1. 가입나이 : 만15세 ~ 70세(단 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 100세만기, 110세 만기 3. 보험료 예시기준 : 1종(50%환급형) 4형(상해보장형) 가입금액 3,000만원, 40세, 100세만기, 20년납, 월납 "
흥국생명,(무)흥국생명 안심케어보험2504(해약환급금일부지급형)_1종 4형,1067100,474300,"3,000만원",,
교보생명,교보상해보험 [D](무배당)[만기환급형(100%)],152496,82530,"1,000만원",비갱신형,"■필수기재사항 1. 가입나이 : 19 ~ 60세 2. 보험기간 : 20년 3. 보험료 예시기준 : 만기환급형(100%), 보험가입금액 1,000만원, 40세, 20년만기, 20년납, 월납, 비위험직 ■선택기재사항 1. 납입기간 : 5년, 10년, 15년, 20년 2. 납입방법 : 월납 / 연납"
교보생명,교보상해보험 [D](무배당)[만기환급형(100%)],152496,82530,"1,000만원",,
교보생명,교보e일잘러케어보험(무배당),213,70,"1,000만원",비갱신형,"■필수기재사항 1. 가입나이 : 20 ~ 60세 2. 보험기간 : 1년 / 3년 3. 보험료 예시기준 : 보험가입금액 1,000만원, 40세, 1년만기, 월납 ■선택기재사항 1. 납입기간 : 전기납 / 일시납 2. 납입방법 : 월납 / 연납 / 일시납 "
교보생명,교보일잘러케어보험(무배당),213,70,"1,000만원",비갱신형,"■필수기재사항 1. 가입나이 : 20 ~ 60세 2. 보험기간 : 1년 / 3년 3. 보험료 예시기준 : 보험가입금액 1,000만원, 40세, 1년만기, 월납 ■선택기재사항 1. 납입기간 : 전기납 / 일시납 2. 납입방법 : 월납 / 연납 / 일시납 "
교보생명,교보e교통안심보험 (무배당),2920,1110,"1,000만원",비갱신형,"■필수기재사항 1. 가입나이 : 20세 ~ 60세 2. 보험기간 : 1년 3. 납입기간 : 일시납 ■선택기재사항 1. 보험료 예시기준 : 보험가입금액 1,000만원, 40세, 1년만기, 일시납"
교보생명,교보e교통안심보험 (무배당),2920,1110,"1,000만원",,
교보생명,교보e교통안심보험 (무배당),2920,1110,"1,000만원",,
교보생명,교보e대중교통안심보험 (무배당),5250,3580,"1,000만원",비갱신형,"■필수기재사항 1. 가입나이 : 19세 ~ 60세 2. 보험기간 : 1년 3. 납입기간 : 일시납 ■선택기재사항 1. 보험료 예시기준 : 보험가입금액 1,000만원, 40세, 1년만기, 일시납"
교보생명,교보e대중교통안심보험 (무배당),5250,3580,"1,000만원",,
교보생명,교보e대중교통안심보험 (무배당),5250,3580,"1,000만원",,
교보생명,교보e대중교통안심보험 (무배당),5250,3580,"1,000만원",,
교보생명,교보상해케어보험 23.11 (무배당),1100,710,"1,000만원",비갱신형,"■필수기재사항 1. 가입나이 : 20 ~ 60세 2. 보험기간 : 1년 3. 납입기간 : 전기납 ■선택기재사항 1. 보험료 예시기준 : 보험가입금액 1,000만원, 40세, 1년만기, 전기납, 월납"
교보생명,교보상해케어보험 23.11 (무배당),1100,710,"1,000만원",,
교보생명,교보상해케어보험 23.11 (무배당),1100,710,"1,000만원",,
교보생명,교보상해케어보험 23.11 (무배당),1100,710,"1,000만원",,
교보생명,교보상해케어보험 23.11 (무배당),1100,710,"1,000만원",,
교보생명,교보상해케어보험 23.11 (무배당),1100,710,"1,000만원",,
교보생명,교보상해케어보험 23.11 (무배당),1100,710,"1,000만원",,
교보생명,교보상해보험 [D](무배당)[순수보장형],1544,532,"1,000만원",비갱신형,"■필수기재사항 1. 가입나이 : 19 ~ 60세 2. 보험기간 : 20년 3. 보험료 예시기준 : 순수보장형, 보험가입금액 1,000만원, 40세, 20년만기, 20년납, 월납, 비위험직 ■선택기재사항 1. 납입기간 : 5년, 10년, 15년, 20년 2. 납입방법 : 월납 / 연납"
iM라이프,iM 프리미엄안심보험 무배당 2508 3종(상해보장형) 2형(일반형),493500,264900,"3,000만원",비갱신형,"1. 가입나이 : 만15세 ~ 최고 75세 2. 보험기간 : 90세/100세/110세만기 3. 납입기간 : 5/7/10/15/20년납 4. 보험료 및 보험가격지수 예시 기준 : 3종(상해보장형), 40세, 90세 만기, 20년납, 월납, 가입금액 3천만원 기준 5. 적용이율: 10년이내 연복리 3.40%, 10년초과 연복리 1.50%"
iM라이프,iM 프리미엄안심보험 무배당 2508 3종(상해보장형) 2형(일반형),493500,264900,"3,000만원",,
iM라이프,iM 프리미엄안심보험 무배당 2508 3종(상해보장형) 1형(해약환급금 일부지급형(50%형)),477000,257400,"3,000만원",비갱신형,"1. 가입나이 : 만15세 ~ 최고 75세 2. 보험기간 : 90세/100세/110세만기 3. 납입기간 : 5/7/10/15/20년납 4. 보험료 및 보험가격지수 예시 기준 : 3종(상해보장형), 40세, 90세 만기, 20년납, 월납, 가입금액 3천만원 기준 5. 적용이율: 10년이내 연복리 3.40%, 10년초과 연복리 1.50%"
iM라이프,iM 프리미엄안심보험 무배당 2508 3종(상해보장형) 1형(해약환급금 일부지급형(50%형)),477000,257400,"3,000만원",,
미래에셋생명,"M-케어 건강보험(3.10.5 간편고지, 갱신형) 무배당",320,120,"2,000만원",갱신형,"1. 보험기간 : 10, 20, 30년 만기(갱신계약 5년 만기, 100세 만기) 2. 보험종류 : 최초계약, 갱신계약 3. 가입나이 : 만15세 ~ 75세(최초계약), 25세 ~ 99세(갱신계약) 4. 납입기간 : 전기납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 가입금액 2,000만원, 40세, 20년만기, 전기납, 월납 7. 주계약 보험료 산출기준 : 가입금액 2,000만원, 40세, 20년만기, 전기납, 월납 8. 특약 보험기간, 납입기간 : 20년만기, 전기납 9. 특이사항 : 「M-케어 건강보험(3.10.5 간편고지, 갱신형) 무배당」은 고지유형 세분화를 통해 일반심사보험에 가입이 어려운 유병자에게 합리적인 보험료로 종합적인 보장을 제공하는 상품입니다."
미래에셋생명,M-케어 0세부터 건강보험 무배당 [해약환급금이 없는 유형],1620,1410,"3,000만원",비갱신형,"1. 보험기간 : 30세만기, 100세만기 2. 보험종류 : 기본형, 해약환급금이 없는 유형 3. 가입나이 : 0세~30세 4. 납입기간 : 10년, 15년, 20년, 25년, 30년납 5. 납입주기 : 월납 6. 보험가격지수 산출기준: 가입금액 3000만원, 100세만기, 30년납, 해약환급금이 없는 유형 7. 주계약 보험료 산출기준: 가입금액 3000만원, 100세만기, 30년납, 해약환급금이 없는 유형 8. 특약보험료 산출기준: 100세만기, 30년납, 해약환급금이 없는 유형 9. 특이사항 : 「M-케어 0세부터 건강보험 무배당」은 주계약의 재해장해보장을 중심으로 각종 특약을 부가해 종합적으로 보장을 설계할 수 있는 상품입니다. 0세부터 최대 30세까지 가입가능하며 연령대에 꼭 필요한 암, 뇌혈관질환, 심장질환의 핵심담보 뿐만 아니라, 입원, 수술, 장해 등 다양한 보장을 제공합니다."
미래에셋생명,M-케어 0세부터 건강보험 무배당 [기본형],390,180,"3,000만원",비갱신형,"1. 보험기간 : 30세만기, 100세만기 2. 보험종류 : 기본형, 해약환급금이 없는 유형 3. 가입나이 : 0세~30세 4. 납입기간 : 10년, 15년, 20년, 25년, 30년납 5. 납입주기 : 월납 6. 보험가격지수 산출기준: 가입금액 3000만원, 30세만기, 15년납, 기본형 7. 주계약 보험료 산출기준: 가입금액 3000만원, 30세만기, 15년납, 기본형 8. 특약보험료 산출기준: 30세만기, 15년납, 기본형 9. 특이사항 : 「M-케어 0세부터 건강보험 무배당」은 주계약의 재해장해보장을 중심으로 각종 특약을 부가해 종합적으로 보장을 설계할 수 있는 상품입니다. 0세부터 최대 30세까지 가입가능하며 연령대에 꼭 필요한 암, 뇌혈관질환, 심장질환의 핵심담보 뿐만 아니라, 입원, 수술, 장해 등 다양한 보장을 제공합니다."
미래에셋생명,M-케어 건강보험(갱신형) 무배당,340,100,"2,000만원",갱신형,"1. 보험기간 : 10,20,30년 만기(최초계약), 5년 만기, 종신 만기(갱신계약) 2. 보험종류 : 최초계약, 갱신계약 3. 가입나이 : 만15세 ~ 75세(최초계약), 25세 ~ 111세(갱신계약) 4. 납입기간 : 전기납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 가입금액 2,000만원, 40세, 20년만기, 20년납, 월납 7. 주계약 보험료 산출기준 : 가입금액 2,000만원, 40세, 20년만기, 20년납, 월납 8. 특약 보험기간, 납입기간 : 20년만기, 20년납 9. 특이사항 : 「M-케어 건강보험(갱신형) 무배당」은 재해로 인한 사망을 보장하는 상품입니다. 암, 뇌혈관질환, 심장질환의 핵심담보 뿐만 아니라, 입원, 수술, 장해, 사망 등 다양한 보장을 제공하여 종합적으로 보장을 설계할 수 있는 상품입니다"
KDB생명,(무)세이프존상해보험,1460,940,200만원,비갱신형,"1. 가입나이: 0세 ~ 70세 2. 보험기간: 1년만기 3. 보험료 납입기간: 전기납 4. 보험료 납입주기: 연납 5. 보험료 예시기준: 40세, 주계약 보험가입금액 200만원, 1년만기, 전기납, 연납 6. 보험가격지수 예시기준: 40세, 주계약 보험가입금액 200만원, 1년만기, 전기납, 연납"
DB생명,(무)백년친구 간편한(335) 내가고른 건강보험(갱신형)(2504),28,12,100만원,갱신형,"1. 상품형태: 갱신형, 순수보장형 2. 보험기간: 20년 또는 10년만기 갱신형, 최대 100세 만기 3. 납입기간: 전기납 4. 가입연령: 만 15세~ 최고 85세 5. 보험가격지수 예시기준: 주계약, 20년만기, 전기납, 가입금액 3천만원 기준 6. 보험료 예시기준: - 주계약, 40세, 20년만기, 전기납, 가입금액 1백만원 기준 - 선택특약, 40세, 20년만기, 전기납, 가입금액 1천만원 기준"
DB생명,(무)백년친구 New 내가고른 건강보험(갱신형)(2404),560,240,2.000만원,갱신형,"1. 상품형태 : 갱신형, 순수보장형 2. 보험기간 : 20년 또는 10년만기 갱신형, 최대 100세 만기 3. 납입기간 : 전기납 4. 가입연령 : 만15세 ~ 최고 70세 5. 보험가격지수 예시기준: 주계약, 20년만기, 전기납, 가입금액 3천만원 기준 6. 보험료 예시기준 : - 주계약, 40세, 20년만기, 전기납, 가입금액 2천만원 기준 - 선택특약, 40세, 20년만기,, 전기납, 가입금액 1천만원 기준"
DB생명,"(무)백년친구 안심보험(2504)(장해보장형,해약환급금 일부지급형)",88800,55100,1000만원,비갱신형,"○ 가입연령 : 0세 ~ 최고70세 ○ 보험기간 : 90세만기, 100세만기, 110세만기 ○ 보험료 예시 기준 - 가입금액 1,000만원, 40세, 90세만기, 20년납, 월납 ○ 보험가격지수 예시 기준 - 가입금액 3,000만원, 40세, 90세만기, 20년납, 월납 ※기타 자세한 사항은 상품요약서 참조"
DB생명,"(무)백년친구 안심보험(2504)(장해보장형,해약환급금 일부지급형)",88800,55100,1000만원,,
DB생명,"(무)백년친구 안심보험(2504)(장해보장형,해약환급금 일부지급형)",88800,55100,1000만원,,
DB생명,"(무)백년친구 안심보험(2504)(장해보장형,표준형)",95500,58700,1000만원,비갱신형,"○ 가입연령 : 0세 ~ 최고70세 ○ 보험기간 : 90세만기, 100세만기, 110세만기 ○ 보험료 예시 기준 - 가입금액 1,000만원, 40세, 90세만기, 20년납, 월납 ○ 보험가격지수 예시 기준 - 가입금액 3,000만원, 40세, 90세만기, 20년납, 월납 ※기타 자세한 사항은 상품요약서 참조"
DB생명,"(무)백년친구 안심보험(2504)(장해보장형,표준형)",95500,58700,1000만원,,
DB생명,"(무)백년친구 안심보험(2504)(장해보장형,표준형)",95500,58700,1000만원,,
DB생명,"(무)백년친구 안심보험(2504)(상해보장형,해약환급금 일부지급형)",138500,75600,1000만원,비갱신형,"○ 가입연령 : 15세 ~ 최고75세 ○ 보험기간 : 90세만기, 100세만기, 110세만기 ○ 보험료 예시 기준 - 가입금액 1,000만원, 40세, 90세만기, 20년납, 월납 ○ 보험가격지수 예시 기준 - 가입금액 3,000만원, 40세, 90세만기, 20년납, 월납 ※기타 자세한 사항은 상품요약서 참조"
DB생명,"(무)백년친구 안심보험(2504)(상해보장형,해약환급금 일부지급형)",138500,75600,1000만원,,
DB생명,"(무)백년친구 안심보험(2504)(상해보장형,표준형)",148700,80100,1000만원,비갱신형,"○ 가입연령 : 15세 ~ 최고75세 ○ 보험기간 : 90세만기, 100세만기, 110세만기 ○ 보험료 예시 기준 - 가입금액 1,000만원, 40세, 90세만기, 20년납, 월납 ○ 보험가격지수 예시 기준 - 가입금액 3,000만원, 40세, 90세만기, 20년납, 월납 ※기타 자세한 사항은 상품요약서 참조"
DB생명,"(무)백년친구 안심보험(2504)(상해보장형,표준형)",148700,80100,1000만원,,
DB생명,(무)백년친구 생활보험(2507)(2종:건강보장형),15000,12600,"1,000만원",비갱신형,"1. 상품형태: 2종(건강보장형) 2. 보험기간: 10년만기 3. 납입주기: 월납 4. 가입연령: 15세 ~ 최고 75세 5. 보험가격지수 예시기준: 2종(건강보장형), 가입금액형, 가입금액 3,000만원, 가입나이 40세, 보험기간 10년, 2년납, 월납 6. 보험료 예시기준 - 주계약: 2종(건강보장형), 가입금액형, 가입금액 1,000만원, 가입나이 40세, 보험기간 10년, 2년납, 월납 ※기타 자세한 사항은 상품요약서 참조"
DB생명,(무)백년친구 생활보험(2507)(2종:건강보장형),15000,12600,"1,000만원",,
DB생명,(무)백년친구 생활보험(2507)(2종:건강보장형),15000,12600,"1,000만원",,
DB생명,(무)백년친구 생활보험(2507)(2종:건강보장형),15000,12600,"1,000만원",,
DB생명,(무)백년친구 생활보험(2507)(2종:건강보장형),15000,12600,"1,000만원",,
DB생명,(무)백년친구 생활보험(2507)(2종:건강보장형),15000,12600,"1,000만원",,
DB생명,(무)백년친구 생활보험(2507)(2종:건강보장형),15000,12600,"1,000만원",,
DB생명,(무)백년친구 생활보험(2507)(2종:건강보장형),15000,12600,"1,000만원",,
