회사명,상품명,지급금액,가입금액,남자(보험료),여자(보험료),나이,성별,직업,직업 위험도
ABL생명,(무)ABL건강N더보장종합보험(일반심사형),10000000,10000000,11000,7000,16,남자,학생,저위험
ABL생명,(무)ABL THE톡톡튀는여성건강보험(해약환급금 미지급형)(간편심사형),1000000,1000000,3000,3000,74,남자,무직,저위험
ABL생명,(무)ABL THE톡톡튀는여성건강보험(해약환급금 미지급형)(간편심사형),10000000,10000000,29000,24000,58,여자,소방관,고위험
ABL생명,(무)ABL THE톡톡튀는여성건강보험(해약환급금 미지급형)(간편심사형),10000000,10000000,55000,41000,22,여자,어업,위험
ABL생명,(무)ABL THE톡톡튀는여성건강보험(해약환급금 미지급형)(간편심사형),10000000,10000000,19000,15000,61,여자,무직,저위험
ABL생명,(무)ABL THE톡톡튀는여성건강보험(해약환급금 미지급형)(간편심사형),10000000,10000000,14000,11000,49,여자,기술직,저위험
ABL생명,(무)ABL THE톡톡튀는여성건강보험(해약환급금 미지급형)(일반심사형),1000000,1000000,3000,3000,50,여자,기술직,저위험
ABL생명,(무)ABL THE톡톡튀는여성건강보험(해약환급금 미지급형)(일반심사형),10000000,10000000,19000,17000,64,남자,회계사,저위험
ABL생명,(무)ABL THE톡톡튀는여성건강보험(해약환급금 미지급형)(일반심사형),151000,10000000,28000,23000,18,여자,학생,저위험
ABL생명,(무)ABL THE톡톡튀는여성건강보험(해약환급금 미지급형)(일반심사형),150011000,10000000,10000,11000,16,여자,학생,저위험
ABL생명,(무)ABL THE톡톡튀는여성건강보험(해약환급금 미지급형)(일반심사형),150011000,10000000,9000,7000,20,여자,학생,저위험
ABL생명,(무)ABL THE톡톡튀는여성건강보험(간편심사형),1000000,1000000,3000,3000,68,남자,무직,저위험
ABL생명,(무)ABL THE톡톡튀는여성건강보험(간편심사형),10000000,10000000,24000,27000,18,남자,학생,저위험
ABL생명,(무)ABL THE톡톡튀는여성건강보험(간편심사형),5000000,10000000,50000,45000,68,남자,무직,저위험
ABL생명,(무)ABL THE톡톡튀는여성건강보험(간편심사형),5000000,10000000,20000,17000,77,남자,무직,저위험
ABL생명,(무)ABL THE톡톡튀는여성건강보험(간편심사형),10000000,10000000,32000,12000,32,남자,철강노동자,고위험
ABL생명,(무)ABL THE톡톡튀는여성건강보험(일반심사형),1000000,1000000,6000,3000,58,남자,컨설턴트,저위험
ABL생명,(무)ABL THE톡톡튀는여성건강보험(일반심사형),10000000,10000000,25000,19000,48,여자,의사,저위험
ABL생명,(무)ABL THE톡톡튀는여성건강보험(일반심사형),5000000,10000000,32000,26000,76,남자,무직,저위험
ABL생명,(무)ABL THE톡톡튀는여성건강보험(일반심사형),10000000,10000000,11000,12000,28,남자,경찰관,고위험
ABL생명,(무)ABL THE톡톡튀는여성건강보험(일반심사형),10000000,10000000,6000,7000,62,여자,컨설턴트,저위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[간편심사형,체증형]",200000000,100000000,639000,570000,29,남자,군인,고위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[간편심사형,체증형]",100000000,100000000,639000,570000,76,여자,무직,저위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[간편심사형,체증형]",100000000,100000000,639000,570000,54,여자,경찰관,고위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[간편심사형,체증형]",250021000,10000000,3000,3000,67,남자,무직,저위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[간편심사형,체증형]",250021000,10000000,3000,3000,38,여자,건설업,고위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[간편심사형,체증형]",250021000,10000000,4000,5000,40,여자,잠수부,고위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[간편심사형,체증형]",5000000,10000000,7000,9000,74,여자,무직,저위험
ABL생명,"(무)ABL건강하면THE소중한종신보험(해약환급금 일부지급형,체증형)",150000000,100000000,334000,295000,55,여자,벌목공,고위험
ABL생명,"(무)ABL건강하면THE소중한종신보험(해약환급금 일부지급형,체증형)",10000000,10000000,3000,3000,43,남자,야간경비,저위험
ABL생명,"(무)ABL건강하면THE소중한종신보험(해약환급금 일부지급형,체증형)",10000000,10000000,3000,3000,29,여자,약사,저위험
ABL생명,"(무)ABL건강하면THE소중한종신보험(해약환급금 일부지급형,체증형)",10000000,10000000,12000,9000,59,남자,디자이너,저위험
ABL생명,"(무)ABL건강하면THE소중한종신보험(해약환급금 일부지급형,체증형)",3000000,10000000,10000,10000,79,여자,무직,저위험
ABL생명,"(무)ABL건강하면THE소중한종신보험(해약환급금 일부지급형,체감형)",50000000,100000000,147000,125000,23,여자,교사,저위험
ABL생명,"(무)ABL건강하면THE소중한종신보험(해약환급금 일부지급형,체감형)",10000000,10000000,3000,3000,15,여자,학생,저위험
ABL생명,"(무)ABL건강하면THE소중한종신보험(해약환급금 일부지급형,체감형)",10000000,10000000,3000,3000,22,남자,컨설턴트,저위험
ABL생명,"(무)ABL건강하면THE소중한종신보험(해약환급금 일부지급형,체감형)",10000000,10000000,12000,9000,77,남자,무직,저위험
ABL생명,"(무)ABL건강하면THE소중한종신보험(해약환급금 일부지급형,체감형)",10000000,10000000,10000,10000,25,남자,농업,위험
ABL생명,"(무)ABL건강하면THE소중한종신보험(해약환급금 일부지급형,평준형)",100000000,100000000,236000,208000,22,여자,경찰관,고위험
ABL생명,"(무)ABL건강하면THE소중한종신보험(해약환급금 일부지급형,평준형)",10000000,10000000,3000,3000,49,여자,개발자,저위험
ABL생명,"(무)ABL건강하면THE소중한종신보험(해약환급금 일부지급형,평준형)",10000000,10000000,3000,3000,49,여자,제조업라인,위험
ABL생명,"(무)ABL건강하면THE소중한종신보험(해약환급금 일부지급형,평준형)",10000000,10000000,12000,9000,47,여자,법률사무,저위험
ABL생명,"(무)ABL건강하면THE소중한종신보험(해약환급금 일부지급형,평준형)",3000000,10000000,10000,10000,19,남자,학생,저위험
ABL생명,(무)ABL건강하면THE소중한종신보험(평준형),100000000,100000000,245000,215000,55,여자,HR,저위험
ABL생명,(무)ABL건강하면THE소중한종신보험(평준형),10000000,10000000,3000,3000,42,남자,중장비기사,고위험
ABL생명,(무)ABL건강하면THE소중한종신보험(평준형),10000000,10000000,3000,3000,21,여자,학생,저위험
ABL생명,(무)ABL건강하면THE소중한종신보험(평준형),10000000,10000000,12000,9000,26,남자,소방관,고위험
ABL생명,(무)ABL건강하면THE소중한종신보험(평준형),3000000,10000000,10000,10000,48,남자,벌목공,고위험
ABL생명,(무)ABL건강하면THE소중한종신보험(체감형),50000000,100000000,148000,125000,47,여자,전기공,저위험
ABL생명,(무)ABL건강하면THE소중한종신보험(체감형),10000000,10000000,3000,3000,62,여자,배달원,위험
ABL생명,(무)ABL건강하면THE소중한종신보험(체감형),10000000,10000000,3000,3000,37,남자,의사,저위험
ABL생명,(무)ABL건강하면THE소중한종신보험(체감형),10000000,10000000,12000,9000,76,여자,무직,저위험
ABL생명,(무)ABL건강하면THE소중한종신보험(체감형),3000000,10000000,10000,10000,51,여자,제조업라인,위험
ABL생명,(무)ABL건강하면THE소중한종신보험(체증형),150000000,100000000,350000,309000,58,남자,철강노동자,고위험
ABL생명,(무)ABL건강하면THE소중한종신보험(체증형),10000000,10000000,3000,3000,49,남자,컨설턴트,저위험
ABL생명,(무)ABL건강하면THE소중한종신보험(체증형),10000000,10000000,3000,3000,79,남자,무직,저위험
ABL생명,(무)ABL건강하면THE소중한종신보험(체증형),10000000,10000000,12000,9000,61,남자,야간경비,저위험
ABL생명,(무)ABL건강하면THE소중한종신보험(체증형),3000000,10000000,10000,10000,17,여자,학생,저위험
ABL생명,"AtoZ(무)ABL유니버셜종신보험(보증비용부과형)(Az금융GA전용)[간편심사형,체증형]",1000000000,100000000,519000,459000,15,남자,벌목공,고위험
ABL생명,"AtoZ(무)ABL유니버셜종신보험(보증비용부과형)(Az금융GA전용)[간편심사형,체증형]",50000000,10000000,3000,3000,19,남자,학생,저위험
ABL생명,"AtoZ(무)ABL유니버셜종신보험(보증비용부과형)(Az금융GA전용)[간편심사형,체증형]",10000000,10000000,3000,3000,28,남자,콜센터,위험
ABL생명,"AtoZ(무)ABL유니버셜종신보험(보증비용부과형)(Az금융GA전용)[간편심사형,체증형]",10000000,10000000,4000,5000,41,여자,콜센터,위험
ABL생명,"AtoZ(무)ABL유니버셜종신보험(보증비용부과형)(Az금융GA전용)[간편심사형,체증형]",10000000,10000000,7000,9000,23,남자,약사,저위험
ABL생명,"AtoZ(무)ABL유니버셜종신보험(보증비용부과형)(Az금융GA전용)[간편심사형,평준형]",1010000000,100000000,287000,246000,29,여자,요리사,위험
ABL생명,"AtoZ(무)ABL유니버셜종신보험(보증비용부과형)(Az금융GA전용)[간편심사형,평준형]",50000000,10000000,3000,3000,56,남자,운전직,위험
ABL생명,"AtoZ(무)ABL유니버셜종신보험(보증비용부과형)(Az금융GA전용)[간편심사형,평준형]",50000000,10000000,3000,3000,65,남자,무직,저위험
ABL생명,"AtoZ(무)ABL유니버셜종신보험(보증비용부과형)(Az금융GA전용)[간편심사형,평준형]",50000000,10000000,4000,5000,74,여자,무직,저위험
ABL생명,"AtoZ(무)ABL유니버셜종신보험(보증비용부과형)(Az금융GA전용)[간편심사형,평준형]",3000000,10000000,7000,9000,66,남자,무직,저위험
ABL생명,"AtoZ(무)ABL유니버셜종신보험(보증비용부과형)(Az금융GA전용)[일반심사형,체증형]",1010000000,100000000,467000,417000,18,남자,광부,고위험
ABL생명,"AtoZ(무)ABL유니버셜종신보험(보증비용부과형)(Az금융GA전용)[일반심사형,체증형]",10000000,10000000,3000,3000,37,여자,의사,저위험
ABL생명,"AtoZ(무)ABL유니버셜종신보험(보증비용부과형)(Az금융GA전용)[일반심사형,체증형]",10000000,10000000,3000,3000,29,남자,엔지니어,저위험
ABL생명,"AtoZ(무)ABL유니버셜종신보험(보증비용부과형)(Az금융GA전용)[일반심사형,체증형]",10000000,10000000,12000,9000,57,남자,무직,저위험
ABL생명,"AtoZ(무)ABL유니버셜종신보험(보증비용부과형)(Az금융GA전용)[일반심사형,체증형]",3000000,10000000,10000,10000,43,남자,선원,고위험
ABL생명,"AtoZ(무)ABL유니버셜종신보험(보증비용부과형)(Az금융GA전용)[일반심사형,평준형]",1010000000,100000000,253000,222000,50,남자,잠수부,고위험
ABL생명,"AtoZ(무)ABL유니버셜종신보험(보증비용부과형)(Az금융GA전용)[일반심사형,평준형]",10000000,10000000,3000,3000,27,여자,잠수부,고위험
ABL생명,"AtoZ(무)ABL유니버셜종신보험(보증비용부과형)(Az금융GA전용)[일반심사형,평준형]",10000000,10000000,3000,3000,46,남자,택배기사,위험
ABL생명,"AtoZ(무)ABL유니버셜종신보험(보증비용부과형)(Az금융GA전용)[일반심사형,평준형]",10000000,10000000,12000,9000,73,여자,무직,저위험
ABL생명,"AtoZ(무)ABL유니버셜종신보험(보증비용부과형)(Az금융GA전용)[일반심사형,평준형]",3000000,10000000,10000,10000,42,남자,HR,저위험
ABL생명,"더나은플러스(무)ABL유니버셜종신보험(보증비용부과형)[간편심사형,체증형]",1010000000,100000000,519000,459000,80,여자,무직,저위험
ABL생명,"더나은플러스(무)ABL유니버셜종신보험(보증비용부과형)[간편심사형,체증형]",1000250,10000000,3000,3000,56,남자,배달원,위험
ABL생명,"더나은플러스(무)ABL유니버셜종신보험(보증비용부과형)[간편심사형,체증형]",1000250,10000000,3000,3000,59,여자,약사,저위험
ABL생명,"더나은플러스(무)ABL유니버셜종신보험(보증비용부과형)[간편심사형,체증형]",1000250,10000000,4000,5000,76,남자,무직,저위험
ABL생명,"더나은플러스(무)ABL유니버셜종신보험(보증비용부과형)[간편심사형,체증형]",10000000,10000000,7000,9000,71,여자,무직,저위험
ABL생명,"더나은플러스(무)ABL유니버셜종신보험(보증비용부과형)[간편심사형,평준형]",1010000000,100000000,287000,246000,20,여자,군인,고위험
ABL생명,"더나은플러스(무)ABL유니버셜종신보험(보증비용부과형)[간편심사형,평준형]",1000250,10000000,3000,3000,42,남자,콜센터,위험
ABL생명,"더나은플러스(무)ABL유니버셜종신보험(보증비용부과형)[간편심사형,평준형]",1000250,10000000,3000,3000,42,여자,콜센터,위험
ABL생명,"더나은플러스(무)ABL유니버셜종신보험(보증비용부과형)[간편심사형,평준형]",1000250,10000000,4000,5000,58,남자,학생,저위험
ABL생명,"더나은플러스(무)ABL유니버셜종신보험(보증비용부과형)[간편심사형,평준형]",5000000,10000000,7000,9000,44,남자,고소작업자,고위험
ABL생명,"더나은플러스(무)ABL유니버셜종신보험(보증비용부과형)[일반심사형,체증형]",1010000000,100000000,467000,417000,76,남자,무직,저위험
ABL생명,"더나은플러스(무)ABL유니버셜종신보험(보증비용부과형)[일반심사형,체증형]",10000000,10000000,3000,3000,76,남자,무직,저위험
ABL생명,"더나은플러스(무)ABL유니버셜종신보험(보증비용부과형)[일반심사형,체증형]",10000000,10000000,3000,3000,15,남자,학생,저위험
ABL생명,"더나은플러스(무)ABL유니버셜종신보험(보증비용부과형)[일반심사형,체증형]",10000000,10000000,12000,9000,41,여자,고소작업자,고위험
ABL생명,"더나은플러스(무)ABL유니버셜종신보험(보증비용부과형)[일반심사형,체증형]",10000000,10000000,10000,10000,76,남자,무직,저위험
ABL생명,"더나은플러스(무)ABL유니버셜종신보험(보증비용부과형)[일반심사형,평준형]",100000000,100000000,253000,222000,17,남자,학생,저위험
ABL생명,"더나은플러스(무)ABL유니버셜종신보험(보증비용부과형)[일반심사형,평준형]",10000000,10000000,3000,3000,41,남자,철도작업자,고위험
ABL생명,"더나은플러스(무)ABL유니버셜종신보험(보증비용부과형)[일반심사형,평준형]",10000000,10000000,3000,3000,23,남자,기술직,저위험
ABL생명,"더나은플러스(무)ABL유니버셜종신보험(보증비용부과형)[일반심사형,평준형]",10000000,10000000,12000,9000,76,남자,무직,저위험
ABL생명,"더나은플러스(무)ABL유니버셜종신보험(보증비용부과형)[일반심사형,평준형]",10000000,10000000,10000,10000,51,남자,소방관,고위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[일반심사형,체증형]",100000000,100000000,581000,530000,65,여자,무직,저위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[일반심사형,체증형]",100000000,100000000,581000,530000,58,여자,요식업,위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[일반심사형,체증형]",100000000,100000000,581000,530000,38,남자,금융직,저위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[일반심사형,체증형]",10000000,10000000,3000,3000,73,여자,무직,저위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[일반심사형,체증형]",10000000,10000000,3000,3000,46,남자,회계사,저위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[일반심사형,체증형]",10000000,10000000,12000,9000,66,남자,무직,저위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[일반심사형,체증형]",10000000,10000000,10000,10000,76,남자,무직,저위험
ABL생명,"(무)ABL THE해주는상속종신보험(해약환급금 미지급형)[간편심사형,총납입P플러스형]",100000000,100000000,532000,379000,72,남자,무직,저위험
ABL생명,"(무)ABL THE해주는상속종신보험(해약환급금 미지급형)[간편심사형,총납입P플러스형]",10000000,10000000,3000,3000,66,남자,무직,저위험
ABL생명,"(무)ABL THE해주는상속종신보험(해약환급금 미지급형)[간편심사형,총납입P플러스형]",10000000,10000000,3000,3000,26,여자,행정직,저위험
ABL생명,"(무)ABL THE해주는상속종신보험(해약환급금 미지급형)[간편심사형,총납입P플러스형]",10000000,10000000,3000,3000,53,여자,간병인,위험
ABL생명,"(무)ABL THE해주는상속종신보험(해약환급금 미지급형)[간편심사형,총납입P플러스형]",10000000,10000000,7000,9000,16,여자,학생,저위험
ABL생명,"(무)ABL THE해주는상속종신보험(해약환급금 미지급형)[일반심사형,총납입P플러스형]",100000000,100000000,400000,313000,17,여자,학생,저위험
ABL생명,"(무)ABL THE해주는상속종신보험(해약환급금 미지급형)[일반심사형,총납입P플러스형]",10000000,10000000,5000,4000,70,남자,무직,저위험
ABL생명,"(무)ABL THE해주는상속종신보험(해약환급금 미지급형)[일반심사형,기납입P플러스형]",100000000,100000000,385000,307000,73,여자,무직,저위험
ABL생명,"(무)ABL THE해주는상속종신보험(해약환급금 미지급형)[일반심사형,기납입P플러스형]",10000000,10000000,5000,4000,16,남자,학생,저위험
ABL생명,"(무)ABL THE해주는상속종신보험(해약환급금 미지급형)[간편심사형,기납입P플러스형]",100000000,100000000,489000,366000,16,여자,학생,저위험
ABL생명,"(무)ABL THE해주는상속종신보험(해약환급금 미지급형)[간편심사형,기납입P플러스형]",10000000,10000000,3000,3000,68,여자,무직,저위험
ABL생명,"(무)ABL THE해주는상속종신보험(해약환급금 미지급형)[간편심사형,기납입P플러스형]",10000000,10000000,3000,3000,15,여자,학생,저위험
ABL생명,"(무)ABL THE해주는상속종신보험(해약환급금 미지급형)[간편심사형,기납입P플러스형]",10000000,10000000,3000,3000,33,여자,개발자,저위험
ABL생명,"(무)ABL THE해주는상속종신보험(해약환급금 미지급형)[간편심사형,기납입P플러스형]",10000000,10000000,7000,9000,16,남자,학생,저위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[간편심사형,평준형]",100000000,100000000,327000,287000,67,여자,무직,저위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[간편심사형,평준형]",100000000,100000000,327000,287000,58,여자,경찰관,고위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[간편심사형,평준형]",100000000,100000000,327000,287000,46,남자,제조업라인,위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[간편심사형,평준형]",10000000,10000000,3000,3000,46,남자,야간경비,저위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[간편심사형,평준형]",10000000,10000000,3000,3000,69,여자,무직,저위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[간편심사형,평준형]",10000000,10000000,4000,5000,70,남자,무직,저위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[간편심사형,평준형]",10000000,10000000,7000,9000,31,남자,엔지니어,저위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[일반심사형,평준형]",100000000,100000000,293000,264000,52,남자,잠수부,고위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[일반심사형,평준형]",100000000,100000000,293000,264000,38,여자,콜센터,위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[일반심사형,평준형]",100000000,100000000,293000,264000,25,남자,금융직,저위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[일반심사형,평준형]",10000000,10000000,3000,3000,30,여자,HR,저위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[일반심사형,평준형]",10000000,10000000,3000,3000,73,여자,무직,저위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[일반심사형,평준형]",10000000,10000000,12000,9000,17,여자,학생,저위험
ABL생명,"(무)ABL THE드림종신보험Ⅲ(해약환급금 일부지급형)[일반심사형,평준형]",10000000,10000000,10000,10000,34,여자,잠수부,고위험
ABL생명,"(무)ABL THE더블종신보험(해약환급금 일부지급형)[일반심사형,3대질병납입면제형]",100000000,100000000,829000,709000,73,남자,무직,저위험
ABL생명,"(무)ABL THE더블종신보험(해약환급금 일부지급형)[일반심사형,3대질병납입면제형]",100000000,100000000,829000,709000,50,여자,회계사,저위험
ABL생명,"(무)ABL THE더블종신보험(해약환급금 일부지급형)[일반심사형,3대질병납입면제형]",100000000,100000000,829000,709000,33,남자,위험화학작업자,고위험
ABL생명,"(무)ABL THE더블종신보험(해약환급금 일부지급형)[일반심사형,3대질병납입면제형]",100000000,100000000,829000,709000,33,여자,HR,저위험
ABL생명,"(무)ABL THE더블종신보험(해약환급금 일부지급형)[일반심사형,3대질병납입면제형]",100000000,100000000,431000,248000,34,남자,경찰관,고위험
ABL생명,"(무)ABL THE더블종신보험(해약환급금 일부지급형)[간편심사형,암납입면제형]",100000000,100000000,873000,754000,66,여자,무직,저위험
ABL생명,"(무)ABL THE더블종신보험(해약환급금 일부지급형)[간편심사형,암납입면제형]",100000000,100000000,873000,754000,47,남자,간병인,위험
ABL생명,"(무)ABL THE더블종신보험(해약환급금 일부지급형)[간편심사형,암납입면제형]",100000000,100000000,873000,754000,54,여자,사무직,저위험
ABL생명,"(무)ABL THE더블종신보험(해약환급금 일부지급형)[간편심사형,암납입면제형]",100000000,100000000,873000,754000,53,여자,잠수부,고위험
ABL생명,"(무)ABL THE더블종신보험(해약환급금 일부지급형)[간편심사형,암납입면제형]",100000000,100000000,395000,246000,15,남자,학생,저위험
ABL생명,"(무)ABL THE더블종신보험(해약환급금 일부지급형)[간편심사형,3대질병납입면제형]",100000000,100000000,943000,818000,25,여자,운전직,위험
ABL생명,"(무)ABL THE더블종신보험(해약환급금 일부지급형)[간편심사형,3대질병납입면제형]",100000000,100000000,943000,818000,71,여자,무직,저위험
ABL생명,"(무)ABL THE더블종신보험(해약환급금 일부지급형)[간편심사형,3대질병납입면제형]",100000000,100000000,943000,818000,64,여자,기술직,저위험
ABL생명,"(무)ABL THE더블종신보험(해약환급금 일부지급형)[간편심사형,3대질병납입면제형]",100000000,100000000,943000,818000,37,남자,HR,저위험
ABL생명,"(무)ABL THE더블종신보험(해약환급금 일부지급형)[간편심사형,3대질병납입면제형]",100000000,100000000,598000,390000,45,여자,철도작업자,고위험
ABL생명,"(무)ABL THE더블종신보험(해약환급금 일부지급형)[일반심사형,암납입면제형]",100000000,100000000,774000,659000,56,여자,서비스직,위험
ABL생명,"(무)ABL THE더블종신보험(해약환급금 일부지급형)[일반심사형,암납입면제형]",100000000,100000000,774000,659000,21,남자,학생,저위험
ABL생명,"(무)ABL THE더블종신보험(해약환급금 일부지급형)[일반심사형,암납입면제형]",100000000,100000000,774000,659000,30,남자,중장비기사,고위험
