보험회사명,상품명,유지기간,납입보험료,계약자적립액,적립률,해약환급금,계약자적립액,적립률,해약환급금,최저보증이율,현재공시이율,평균공시이율,확정이율,사업비율,위험보장,확정이율,현재공시이율,최저보증이율,가입유형,유니버셜여부,납입방법,판매채널,판매일자,특이사항,대표번호
한화생명,한화생명 스마트하이브리드연금보험 무배당(기본형),5,"18,000,000 원","18,121,553 원",100.68 %,"18,037,553 원","18,122,200 원",100.68 %,"18,038,200 원",0.68 %,0.68 %,0.68 %,-,8.43 %,0.0040 %,-,2.47 %,5년초과 0.5%,적립,비유니버셜,월납,대면채널  방카슈랑스,2025-09-01,"1. 가입나이 : 0세~85세(다만, 연금개시나이 및 납입기간별로 가입가능 나이가 상이함) 2. 가입한도 : 구좌당 월납보험료 10만원이상 100만원 이하(3년납의 경우에는 20만원 이상 구좌당 매월 100만원 이하) ※ 다만, 단체구성원을 확정 시킬 수 있고 보험계약의 일괄적인 관리가 가능한 동일단체에 소속된 5인 이상의 보험계약자가 일괄하여 체결하는 보험계약(이하 ‘단체계약’이라 한다.)에 한하여 구좌당 2만원 이상 100만원 이하로 한다. 3. 보험기간 : 종신(연금지급 형태별로 상이) 4. 보험종류 : 연금강화형, 기본형, 가족사랑형 5. 해약환급금 기준 : 기본형, 적립형, 40세, 60세 연금개시, 10년납, 월납, 보험료 30만원, 가입 후 5년 이내 확정이율 연복리 2.95%, 가입 후 5년 초과 공시이율 연복리 2.47% 기준",1588-6363
한화생명,한화생명 스마트하이브리드연금보험 무배당(기본형),10,"36,000,000 원","40,712,969 원",113.09 %,"40,712,969 원","40,714,364 원",113.10 %,"40,714,364 원",5.27 %,13.09 %,14.25 %,-,7.53 %,0.0040 %,-,2.47 %,5년초과 0.5%,적립,비유니버셜,월납,대면채널  방카슈랑스,2025-09-01,"1. 가입나이 : 0세~85세(다만, 연금개시나이 및 납입기간별로 가입가능 나이가 상이함) 2. 가입한도 : 구좌당 월납보험료 10만원이상 100만원 이하(3년납의 경우에는 20만원 이상 구좌당 매월 100만원 이하) ※ 다만, 단체구성원을 확정 시킬 수 있고 보험계약의 일괄적인 관리가 가능한 동일단체에 소속된 5인 이상의 보험계약자가 일괄하여 체결하는 보험계약(이하 ‘단체계약’이라 한다.)에 한하여 구좌당 2만원 이상 100만원 이하로 한다. 3. 보험기간 : 종신(연금지급 형태별로 상이) 4. 보험종류 : 연금강화형, 기본형, 가족사랑형 5. 해약환급금 기준 : 기본형, 적립형, 40세, 60세 연금개시, 10년납, 월납, 보험료 30만원, 가입 후 5년 이내 확정이율 연복리 2.95%, 가입 후 5년 초과 공시이율 연복리 2.47% 기준",1588-6363
한화생명,한화생명 스마트하이브리드연금보험 무배당(기본형),15,"36,000,000 원","45,808,707 원",127.25 %,"45,808,707 원","45,811,941 원",127.26 %,"45,811,941 원",7.43 %,27.25 %,30.32 %,-,8.01 %,0.0093 %,-,2.47 %,5년초과 0.5%,적립,비유니버셜,월납,대면채널  방카슈랑스,2025-09-01,"1. 가입나이 : 0세~85세(다만, 연금개시나이 및 납입기간별로 가입가능 나이가 상이함) 2. 가입한도 : 구좌당 월납보험료 10만원이상 100만원 이하(3년납의 경우에는 20만원 이상 구좌당 매월 100만원 이하) ※ 다만, 단체구성원을 확정 시킬 수 있고 보험계약의 일괄적인 관리가 가능한 동일단체에 소속된 5인 이상의 보험계약자가 일괄하여 체결하는 보험계약(이하 ‘단체계약’이라 한다.)에 한하여 구좌당 2만원 이상 100만원 이하로 한다. 3. 보험기간 : 종신(연금지급 형태별로 상이) 4. 보험종류 : 연금강화형, 기본형, 가족사랑형 5. 해약환급금 기준 : 기본형, 적립형, 40세, 60세 연금개시, 10년납, 월납, 보험료 30만원, 가입 후 5년 이내 확정이율 연복리 2.95%, 가입 후 5년 초과 공시이율 연복리 2.47% 기준",1588-6363
한화생명,한화생명 스마트하이브리드연금보험 무배당(기본형),20,"36,000,000 원","51,568,566 원",143.25 %,"51,568,566 원","51,573,851 원",143.26 %,"51,573,851 원",9.66 %,43.25 %,48.74 %,-,8.50 %,0.0147 %,-,2.47 %,5년초과 0.5%,적립,비유니버셜,월납,대면채널  방카슈랑스,2025-09-01,"1. 가입나이 : 0세~85세(다만, 연금개시나이 및 납입기간별로 가입가능 나이가 상이함) 2. 가입한도 : 구좌당 월납보험료 10만원이상 100만원 이하(3년납의 경우에는 20만원 이상 구좌당 매월 100만원 이하) ※ 다만, 단체구성원을 확정 시킬 수 있고 보험계약의 일괄적인 관리가 가능한 동일단체에 소속된 5인 이상의 보험계약자가 일괄하여 체결하는 보험계약(이하 ‘단체계약’이라 한다.)에 한하여 구좌당 2만원 이상 100만원 이하로 한다. 3. 보험기간 : 종신(연금지급 형태별로 상이) 4. 보험종류 : 연금강화형, 기본형, 가족사랑형 5. 해약환급금 기준 : 기본형, 적립형, 40세, 60세 연금개시, 10년납, 월납, 보험료 30만원, 가입 후 5년 이내 확정이율 연복리 2.95%, 가입 후 5년 초과 공시이율 연복리 2.47% 기준",1588-6363
한화생명,"한화생명 스마트V연금보험 무배당(기본형, 가족사랑형)",1,"50,000,000 원","49,843,615 원",99.69 %,"49,843,615 원","49,843,957 원",99.69 %,"49,843,957 원",-1.75 %,-0.31 %,-0.04 %,-,2.71 %,0.0008 %,-,2.47 %,"3년이내 1.0% , 3년 초과 5년 이내 0.75%, 5년 초과시 0.5%",거치,비유니버셜,일시납,대면채널  방카슈랑스,2025-04-01,"1. 보험종류 - 적립형 : 1종 기본형, 2종 가족사랑형, 3종 연금강화형  - 거치형 : 1종 기본형, 2종 가족사랑형 2. 가입나이 : 0세 ~ 85세 ※ 가입최고나이는 연금개시나이 및 납입기간별로 상이 ※ 적립형 3종 연금강화형의 경우 가입최저나이 40세 3. 가입한도  - 적립형 : 구좌당 월납보험료 10만원이상 100만원 이하(3년납의 경우에는 20만원 이상 구좌당 매월 100만원 이하)  - 거치형 : 1,000만원이상 4. 납입기간 :  - 적립형 : 1종 기본형, 2종 가족사랑형(3년납,5년납, 7년납, 10년납, 15년납, 20년납), 3종 연금강화형(3년납, 5년납)  - 거치형 : 일시납 5. 보험기간 : 종신(연금지급 형태별로 상이) 6. 해약환급금 기준 : 남/여 55세, 거치형(1종 기본형, 2종 가족사랑형), 65세 연금개시, 일시납, 보험료 5,000만원, 적용이율 2.47%기준",1588-6363
한화생명,"한화생명 스마트V연금보험 무배당(기본형, 가족사랑형)",3,"50,000,000 원","51,948,346 원",103.90 %,"51,948,346 원","51,949,345 원",103.90 %,"51,949,345 원",-0.54 %,3.90 %,4.76 %,-,3.46 %,0.0023 %,-,2.47 %,"3년이내 1.0% , 3년 초과 5년 이내 0.75%, 5년 초과시 0.5%",거치,비유니버셜,일시납,대면채널  방카슈랑스,2025-04-01,"1. 보험종류 - 적립형 : 1종 기본형, 2종 가족사랑형, 3종 연금강화형  - 거치형 : 1종 기본형, 2종 가족사랑형 2. 가입나이 : 0세 ~ 85세 ※ 가입최고나이는 연금개시나이 및 납입기간별로 상이 ※ 적립형 3종 연금강화형의 경우 가입최저나이 40세 3. 가입한도  - 적립형 : 구좌당 월납보험료 10만원이상 100만원 이하(3년납의 경우에는 20만원 이상 구좌당 매월 100만원 이하)  - 거치형 : 1,000만원이상 4. 납입기간 :  - 적립형 : 1종 기본형, 2종 가족사랑형(3년납,5년납, 7년납, 10년납, 15년납, 20년납), 3종 연금강화형(3년납, 5년납)  - 거치형 : 일시납 5. 보험기간 : 종신(연금지급 형태별로 상이) 6. 해약환급금 기준 : 남/여 55세, 거치형(1종 기본형, 2종 가족사랑형), 65세 연금개시, 일시납, 보험료 5,000만원, 적용이율 2.47%기준",1588-6363
한화생명,"한화생명 스마트V연금보험 무배당(기본형, 가족사랑형)",5,"50,000,000 원","54,799,769 원",109.60 %,"54,799,769 원","54,801,475 원",109.60 %,"54,801,475 원",1.47 %,9.60 %,11.10 %,-,3.94 %,0.0038 %,-,2.47 %,"3년이내 1.0% , 3년 초과 5년 이내 0.75%, 5년 초과시 0.5%",거치,비유니버셜,일시납,대면채널  방카슈랑스,2025-04-01,"1. 보험종류 - 적립형 : 1종 기본형, 2종 가족사랑형, 3종 연금강화형  - 거치형 : 1종 기본형, 2종 가족사랑형 2. 가입나이 : 0세 ~ 85세 ※ 가입최고나이는 연금개시나이 및 납입기간별로 상이 ※ 적립형 3종 연금강화형의 경우 가입최저나이 40세 3. 가입한도  - 적립형 : 구좌당 월납보험료 10만원이상 100만원 이하(3년납의 경우에는 20만원 이상 구좌당 매월 100만원 이하)  - 거치형 : 1,000만원이상 4. 납입기간 :  - 적립형 : 1종 기본형, 2종 가족사랑형(3년납,5년납, 7년납, 10년납, 15년납, 20년납), 3종 연금강화형(3년납, 5년납)  - 거치형 : 일시납 5. 보험기간 : 종신(연금지급 형태별로 상이) 6. 해약환급금 기준 : 남/여 55세, 거치형(1종 기본형, 2종 가족사랑형), 65세 연금개시, 일시납, 보험료 5,000만원, 적용이율 2.47%기준",1588-6363
한화생명,"한화생명 스마트V연금보험 무배당(기본형, 가족사랑형)",10,"50,000,000 원","62,278,853 원",124.56 %,"62,278,853 원","62,283,604 원",124.57 %,"62,283,604 원",11.17 %,24.56 %,27.97 %,-,5.14 %,0.0113 %,-,2.47 %,"3년이내 1.0% , 3년 초과 5년 이내 0.75%, 5년 초과시 0.5%",거치,비유니버셜,일시납,대면채널  방카슈랑스,2025-04-01,"1. 보험종류 - 적립형 : 1종 기본형, 2종 가족사랑형, 3종 연금강화형  - 거치형 : 1종 기본형, 2종 가족사랑형 2. 가입나이 : 0세 ~ 85세 ※ 가입최고나이는 연금개시나이 및 납입기간별로 상이 ※ 적립형 3종 연금강화형의 경우 가입최저나이 40세 3. 가입한도  - 적립형 : 구좌당 월납보험료 10만원이상 100만원 이하(3년납의 경우에는 20만원 이상 구좌당 매월 100만원 이하)  - 거치형 : 1,000만원이상 4. 납입기간 :  - 적립형 : 1종 기본형, 2종 가족사랑형(3년납,5년납, 7년납, 10년납, 15년납, 20년납), 3종 연금강화형(3년납, 5년납)  - 거치형 : 일시납 5. 보험기간 : 종신(연금지급 형태별로 상이) 6. 해약환급금 기준 : 남/여 55세, 거치형(1종 기본형, 2종 가족사랑형), 65세 연금개시, 일시납, 보험료 5,000만원, 적용이율 2.47%기준",1588-6363
한화생명,"한화생명 스마트V연금보험 무배당(기본형, 가족사랑형)",1,"3,600,000 원","3,303,835 원",91.77 %,"3,051,835 원","3,303,956 원",91.78 %,"3,051,956 원",-8.94 %,-8.23 %,-8.09 %,-,9.43 %,0.0040 %,-,2.47 %,"3년이내 1.0%, 3년 초과 5년 이내 0.75%, 5년초과 0.5%",적립,비유니버셜,월납,대면채널  방카슈랑스,2025-09-01,"1. 보험종류 - 적립형 : 1종 기본형, 2종 가족사랑형, 3종 연금강화형  - 거치형 : 1종 기본형, 2종 가족사랑형 2. 가입나이 : 0세 ~ 85세 ※ 가입최고나이는 연금개시나이 및 납입기간별로 상이 ※ 적립형 3종 연금강화형의 경우 가입최저나이 40세 3. 가입한도  - 적립형 : 구좌당 월납보험료 10만원이상 100만원 이하(3년납의 경우에는 20만원 이상 구좌당 매월 100만원 이하)  - 거치형 : 1,000만원이상 4. 납입기간  - 적립형 : 1종 기본형, 2종 가족사랑형(3년납,5년납, 7년납, 10년납, 15년납, 20년납), 3종 연금강화형(3년납, 5년납)  - 거치형 : 일시납 5. 보험기간 : 종신(연금지급 형태별로 상이) 6. 해약환급금 기준 : 남/여 40세, 적립형(1종 기본형, 2종 가족사랑형), 60세 연금개시, 10년납, 월납, 보험료 30만원, 적용이율 2.47%기준",1588-6363
한화생명,"한화생명 스마트V연금보험 무배당(기본형, 가족사랑형)",3,"10,800,000 원","10,158,333 원",94.06 %,"9,990,333 원","10,158,707 원",94.06 %,"9,990,707 원",-8.03 %,-5.94 %,-5.54 %,-,9.43 %,0.0040 %,-,2.47 %,"3년이내 1.0%, 3년 초과 5년 이내 0.75%, 5년초과 0.5%",적립,비유니버셜,월납,대면채널  방카슈랑스,2025-09-01,"1. 보험종류 - 적립형 : 1종 기본형, 2종 가족사랑형, 3종 연금강화형  - 거치형 : 1종 기본형, 2종 가족사랑형 2. 가입나이 : 0세 ~ 85세 ※ 가입최고나이는 연금개시나이 및 납입기간별로 상이 ※ 적립형 3종 연금강화형의 경우 가입최저나이 40세 3. 가입한도  - 적립형 : 구좌당 월납보험료 10만원이상 100만원 이하(3년납의 경우에는 20만원 이상 구좌당 매월 100만원 이하)  - 거치형 : 1,000만원이상 4. 납입기간  - 적립형 : 1종 기본형, 2종 가족사랑형(3년납,5년납, 7년납, 10년납, 15년납, 20년납), 3종 연금강화형(3년납, 5년납)  - 거치형 : 일시납 5. 보험기간 : 종신(연금지급 형태별로 상이) 6. 해약환급금 기준 : 남/여 40세, 적립형(1종 기본형, 2종 가족사랑형), 60세 연금개시, 10년납, 월납, 보험료 30만원, 적용이율 2.47%기준",1588-6363
한화생명,"한화생명 스마트V연금보험 무배당(기본형, 가족사랑형)",5,"18,000,000 원","18,165,626 원",100.92 %,"18,081,626 원","18,166,265 원",100.92 %,"18,082,265 원",-2.98 %,0.92 %,1.61 %,-,9.43 %,0.0040 %,-,2.47 %,"3년이내 1.0%, 3년 초과 5년 이내 0.75%, 5년초과 0.5%",적립,비유니버셜,월납,대면채널  방카슈랑스,2025-09-01,"1. 보험종류 - 적립형 : 1종 기본형, 2종 가족사랑형, 3종 연금강화형  - 거치형 : 1종 기본형, 2종 가족사랑형 2. 가입나이 : 0세 ~ 85세 ※ 가입최고나이는 연금개시나이 및 납입기간별로 상이 ※ 적립형 3종 연금강화형의 경우 가입최저나이 40세 3. 가입한도  - 적립형 : 구좌당 월납보험료 10만원이상 100만원 이하(3년납의 경우에는 20만원 이상 구좌당 매월 100만원 이하)  - 거치형 : 1,000만원이상 4. 납입기간  - 적립형 : 1종 기본형, 2종 가족사랑형(3년납,5년납, 7년납, 10년납, 15년납, 20년납), 3종 연금강화형(3년납, 5년납)  - 거치형 : 일시납 5. 보험기간 : 종신(연금지급 형태별로 상이) 6. 해약환급금 기준 : 남/여 40세, 적립형(1종 기본형, 2종 가족사랑형), 60세 연금개시, 10년납, 월납, 보험료 30만원, 적용이율 2.47%기준",1588-6363
한화생명,"한화생명 스마트V연금보험 무배당(기본형, 가족사랑형)",10,"36,000,000 원","40,372,168 원",112.14 %,"40,372,168 원","40,373,554 원",112.15 %,"40,373,554 원",6.04 %,12.14 %,13.67 %,-,8.53 %,0.0040 %,-,2.47 %,"3년이내 1.0%, 3년 초과 5년 이내 0.75%, 5년초과 0.5%",적립,비유니버셜,월납,대면채널  방카슈랑스,2025-09-01,"1. 보험종류 - 적립형 : 1종 기본형, 2종 가족사랑형, 3종 연금강화형  - 거치형 : 1종 기본형, 2종 가족사랑형 2. 가입나이 : 0세 ~ 85세 ※ 가입최고나이는 연금개시나이 및 납입기간별로 상이 ※ 적립형 3종 연금강화형의 경우 가입최저나이 40세 3. 가입한도  - 적립형 : 구좌당 월납보험료 10만원이상 100만원 이하(3년납의 경우에는 20만원 이상 구좌당 매월 100만원 이하)  - 거치형 : 1,000만원이상 4. 납입기간  - 적립형 : 1종 기본형, 2종 가족사랑형(3년납,5년납, 7년납, 10년납, 15년납, 20년납), 3종 연금강화형(3년납, 5년납)  - 거치형 : 일시납 5. 보험기간 : 종신(연금지급 형태별로 상이) 6. 해약환급금 기준 : 남/여 40세, 적립형(1종 기본형, 2종 가족사랑형), 60세 연금개시, 10년납, 월납, 보험료 30만원, 적용이율 2.47%기준",1588-6363
한화생명,"한화생명 스마트V연금보험 무배당(기본형, 가족사랑형)",15,"36,000,000 원","45,442,810 원",126.23 %,"45,442,810 원","45,446,034 원",126.24 %,"45,446,034 원",8.27 %,26.23 %,29.71 %,-,8.96 %,0.0093 %,-,2.47 %,"3년이내 1.0%, 3년 초과 5년 이내 0.75%, 5년초과 0.5%",적립,비유니버셜,월납,대면채널  방카슈랑스,2025-09-01,"1. 보험종류 - 적립형 : 1종 기본형, 2종 가족사랑형, 3종 연금강화형  - 거치형 : 1종 기본형, 2종 가족사랑형 2. 가입나이 : 0세 ~ 85세 ※ 가입최고나이는 연금개시나이 및 납입기간별로 상이 ※ 적립형 3종 연금강화형의 경우 가입최저나이 40세 3. 가입한도  - 적립형 : 구좌당 월납보험료 10만원이상 100만원 이하(3년납의 경우에는 20만원 이상 구좌당 매월 100만원 이하)  - 거치형 : 1,000만원이상 4. 납입기간  - 적립형 : 1종 기본형, 2종 가족사랑형(3년납,5년납, 7년납, 10년납, 15년납, 20년납), 3종 연금강화형(3년납, 5년납)  - 거치형 : 일시납 5. 보험기간 : 종신(연금지급 형태별로 상이) 6. 해약환급금 기준 : 남/여 40세, 적립형(1종 기본형, 2종 가족사랑형), 60세 연금개시, 10년납, 월납, 보험료 30만원, 적용이율 2.47%기준",1588-6363
