보험회사명,상품명,유지기간,납입보험료,계약자적립액,적립률,해약환급금,계약자적립액_1,적립률_1,해약환급금_1,최저보증이율,현재공시이율,평균공시이율,확정이율,사업비율,위험보장,확정이율_1,현재공시이율_1,최저보증이율_1,가입유형,유니버셜여부,납입방법,판매채널,판매일자,특이사항,대표번호
삼성생명,삼성 스마트저축보험(2501)(무배당),7.0,"25,200,000 원","24,833,010 원",98.54 %,"24,833,010 원","24,838,610 원",98.57 %,"24,838,610 원",-6.04 %,-1.46 %,-0.01 %,-,9.26 %,0.0506 %,-,2.34 %,"가입 후 10년 이내 연복리 1.0%, 10년 초과 연복리 0.5%",적립,비유니버셜,월납,대면채널,2025-01-01,"□ 필수 기재사항 1. 가입나이 : 만15세~최대 75세  ※ 보험기간, 납입기간에 따라 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 10,12,15,20년만기 3. 해약환급금 예시기준  - 가입나이 40세, 10년만기, 10년납, 월납, 기본보험료 30만원, 공시이율 연복리 2.34% □ 선택 기재사항 1. 보험료 납입기간 : 7,10,12,15,20년납 / 일시납  ※ 보험기간별로 납입기간은 차이가 있을 수 있습니다.",1588-3114
삼성생명,삼성 스마트저축보험(2501)(무배당),10.0,"36,000,000 원","37,123,060 원",103.12 %,"37,123,060 원","37,132,190 원",103.14 %,"37,132,190 원",-3.64 %,3.12 %,5.29 %,-,8.31 %,0.0552 %,-,2.34 %,"가입 후 10년 이내 연복리 1.0%, 10년 초과 연복리 0.5%",적립,비유니버셜,월납,대면채널,2025-01-01,"□ 필수 기재사항 1. 가입나이 : 만15세~최대 75세  ※ 보험기간, 납입기간에 따라 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 10,12,15,20년만기 3. 해약환급금 예시기준  - 가입나이 40세, 10년만기, 10년납, 월납, 기본보험료 30만원, 공시이율 연복리 2.34% □ 선택 기재사항 1. 보험료 납입기간 : 7,10,12,15,20년납 / 일시납  ※ 보험기간별로 납입기간은 차이가 있을 수 있습니다.",1588-3114
삼성생명,삼성 스마트저축보험(2501)(무배당),1.0,"50,000,000 원","49,738,550 원",99.48 %,"48,982,550 원","49,744,620 원",99.49 %,"48,988,620 원",-1.83 %,-0.52 %,-0.12 %,-,2.78 %,0.0240 %,-,2.34 %,"가입 후 10년 이내 연복리 1.0%, 10년 초과 연복리 0.5%",거치,비유니버셜,일시납,대면채널,2025-01-01,"□ 필수 기재사항 1. 가입나이 : 만15세~최대 75세  ※ 보험기간, 납입기간에 따라 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 10,12,15,20년만기 3. 해약환급금 예시기준  - 가입나이 55세, 10년만기, 일시납, 기본보험료 5,000만원, 공시이율 연복리2.34% □ 선택 기재사항 1. 보험료 납입기간 : 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114
삼성생명,삼성 스마트저축보험(2501)(무배당),3.0,"50,000,000 원","51,097,720 원",102.20 %,"50,719,720 원","51,117,600 원",102.24 %,"50,739,600 원",-1.82 %,2.20 %,3.45 %,-,4.67 %,0.0768 %,-,2.34 %,"가입 후 10년 이내 연복리 1.0%, 10년 초과 연복리 0.5%",거치,비유니버셜,일시납,대면채널,2025-01-01,"□ 필수 기재사항 1. 가입나이 : 만15세~최대 75세  ※ 보험기간, 납입기간에 따라 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 10,12,15,20년만기 3. 해약환급금 예시기준  - 가입나이 55세, 10년만기, 일시납, 기본보험료 5,000만원, 공시이율 연복리2.34% □ 선택 기재사항 1. 보험료 납입기간 : 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114
삼성생명,삼성 스마트저축보험(2501)(무배당),5.0,"50,000,000 원","52,516,330 원",105.03 %,"52,516,330 원","52,553,740 원",105.11 %,"52,553,740 원",-1.82 %,5.03 %,7.20 %,-,6.57 %,0.1392 %,-,2.34 %,"가입 후 10년 이내 연복리 1.0%, 10년 초과 연복리 0.5%",거치,비유니버셜,일시납,대면채널,2025-01-01,"□ 필수 기재사항 1. 가입나이 : 만15세~최대 75세  ※ 보험기간, 납입기간에 따라 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 10,12,15,20년만기 3. 해약환급금 예시기준  - 가입나이 55세, 10년만기, 일시납, 기본보험료 5,000만원, 공시이율 연복리2.34% □ 선택 기재사항 1. 보험료 납입기간 : 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114
삼성생명,삼성 스마트저축보험(2501)(무배당),7.0,"50,000,000 원","54,817,850 원",109.64 %,"54,817,850 원","54,876,680 원",109.75 %,"54,876,680 원",-0.22 %,9.64 %,12.81 %,-,6.86 %,0.2124 %,-,2.34 %,"가입 후 10년 이내 연복리 1.0%, 10년 초과 연복리 0.5%",거치,비유니버셜,일시납,대면채널,2025-01-01,"□ 필수 기재사항 1. 가입나이 : 만15세~최대 75세  ※ 보험기간, 납입기간에 따라 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 10,12,15,20년만기 3. 해약환급금 예시기준  - 가입나이 55세, 10년만기, 일시납, 기본보험료 5,000만원, 공시이율 연복리2.34% □ 선택 기재사항 1. 보험료 납입기간 : 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114
삼성생명,삼성 스마트저축보험(2501)(무배당),10.0,"50,000,000 원","58,458,400 원",116.92 %,"58,458,400 원","58,563,680 원",117.13 %,"58,563,680 원",2.22 %,16.92 %,21.77 %,-,7.29 %,0.3564 %,-,2.34 %,"가입 후 10년 이내 연복리 1.0%, 10년 초과 연복리 0.5%",거치,비유니버셜,일시납,대면채널,2025-01-01,"□ 필수 기재사항 1. 가입나이 : 만15세~최대 75세  ※ 보험기간, 납입기간에 따라 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 10,12,15,20년만기 3. 해약환급금 예시기준  - 가입나이 55세, 10년만기, 일시납, 기본보험료 5,000만원, 공시이율 연복리2.34% □ 선택 기재사항 1. 보험료 납입기간 : 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114
삼성생명,삼성 인터넷저축보험(2501)(무배당),1.0,"3,600,000 원","3,619,700 원",100.55 %,"3,619,700 원","3,619,870 원",100.55 %,"3,619,870 원",0.23 %,0.55 %,0.64 %,-,0.67 %,0.0420 %,-,2.34 %,"가입 후 10년이내 1.0%, 10년초과 0.5%",적립,비유니버셜,월납,CM,2025-01-01,"□ 필수 기재사항 1. 가입연령 : 20세~최대 65세 (납입기간 및 성별에 따라 상이) 2. 보험기간 : 5/10/15/20년만기 3. 해지환급금 예시 기준 가입나이 40세, 기본보험료 30만원, 10년만기 전기월납, 2.34% [공시이율] 적용 □ 선택 기재사항 1. 납입기간: 5/7/10/12/15년납, 전기납 2. 사업비를 경과이자(매월 월계약해당일의 적립액에서 이미 납입한 보험료를 차감한 금액)에 비례하여 차감하는 방식으로 사업비는 각각 최대금액예시",1588-3114
삼성생명,삼성 인터넷저축보험(2501)(무배당),3.0,"10,800,000 원","10,875,360 원",100.70 %,"10,875,360 원","10,875,760 원",100.70 %,"10,875,760 원",0.28 %,0.70 %,0.95 %,-,2.85 %,0.0453 %,-,2.34 %,"가입 후 10년이내 1.0%, 10년초과 0.5%",적립,비유니버셜,월납,CM,2025-01-01,"□ 필수 기재사항 1. 가입연령 : 20세~최대 65세 (납입기간 및 성별에 따라 상이) 2. 보험기간 : 5/10/15/20년만기 3. 해지환급금 예시 기준 가입나이 40세, 기본보험료 30만원, 10년만기 전기월납, 2.34% [공시이율] 적용 □ 선택 기재사항 1. 납입기간: 5/7/10/12/15년납, 전기납 2. 사업비를 경과이자(매월 월계약해당일의 적립액에서 이미 납입한 보험료를 차감한 금액)에 비례하여 차감하는 방식으로 사업비는 각각 최대금액예시",1588-3114
삼성생명,삼성 인터넷저축보험(2501)(무배당),5.0,"18,000,000 원","18,335,250 원",101.86 %,"18,335,250 원","18,337,150 원",101.87 %,"18,337,150 원",0.29 %,1.86 %,2.70 %,-,4.03 %,0.0476 %,-,2.34 %,"가입 후 10년이내 1.0%, 10년초과 0.5%",적립,비유니버셜,월납,CM,2025-01-01,"□ 필수 기재사항 1. 가입연령 : 20세~최대 65세 (납입기간 및 성별에 따라 상이) 2. 보험기간 : 5/10/15/20년만기 3. 해지환급금 예시 기준 가입나이 40세, 기본보험료 30만원, 10년만기 전기월납, 2.34% [공시이율] 적용 □ 선택 기재사항 1. 납입기간: 5/7/10/12/15년납, 전기납 2. 사업비를 경과이자(매월 월계약해당일의 적립액에서 이미 납입한 보험료를 차감한 금액)에 비례하여 차감하는 방식으로 사업비는 각각 최대금액예시",1588-3114
삼성생명,삼성 인터넷저축보험(2501)(무배당),7.0,"25,200,000 원","26,147,830 원",103.76 %,"26,147,830 원","26,151,580 원",103.78 %,"26,151,580 원",0.36 %,3.76 %,5.12 %,-,4.53 %,0.0506 %,-,2.34 %,"가입 후 10년이내 1.0%, 10년초과 0.5%",적립,비유니버셜,월납,CM,2025-01-01,"□ 필수 기재사항 1. 가입연령 : 20세~최대 65세 (납입기간 및 성별에 따라 상이) 2. 보험기간 : 5/10/15/20년만기 3. 해지환급금 예시 기준 가입나이 40세, 기본보험료 30만원, 10년만기 전기월납, 2.34% [공시이율] 적용 □ 선택 기재사항 1. 납입기간: 5/7/10/12/15년납, 전기납 2. 사업비를 경과이자(매월 월계약해당일의 적립액에서 이미 납입한 보험료를 차감한 금액)에 비례하여 차감하는 방식으로 사업비는 각각 최대금액예시",1588-3114
삼성생명,삼성 인터넷저축보험(2501)(무배당),10.0,"36,000,000 원","39,284,820 원",109.12 %,"39,284,820 원","39,291,980 원",109.14 %,"39,291,980 원",3.06 %,9.12 %,11.28 %,-,4.92 %,0.0552 %,-,2.34 %,"가입 후 10년이내 1.0%, 10년초과 0.5%",적립,비유니버셜,월납,CM,2025-01-01,"□ 필수 기재사항 1. 가입연령 : 20세~최대 65세 (납입기간 및 성별에 따라 상이) 2. 보험기간 : 5/10/15/20년만기 3. 해지환급금 예시 기준 가입나이 40세, 기본보험료 30만원, 10년만기 전기월납, 2.34% [공시이율] 적용 □ 선택 기재사항 1. 납입기간: 5/7/10/12/15년납, 전기납 2. 사업비를 경과이자(매월 월계약해당일의 적립액에서 이미 납입한 보험료를 차감한 금액)에 비례하여 차감하는 방식으로 사업비는 각각 최대금액예시",1588-3114
삼성생명,"삼성 1년 모아봄 저축보험(2401)(무배당, 확정금리형)",1.0,"1,200,000 원","1,216,250 원",101.35 %,"1,216,250 원","1,216,270 원",101.36 %,"1,216,270 원",-,-,-,3.00 %,0.26 %,0.0040 %,3.00 %,-,-,적립,비유니버셜,월납,CM,2024-01-01,"□ 필수 기재사항 1. 가입연령 : 20세 ~ 65세 2. 보험기간 : 1년 만기 3. 해지환급금 예시 기준 : 가입나이 40세, 1년 만기, 전기납, 월납, 보험료 10만원 □ 선택 기재사항120 1. 납입기간 : 전기납 2. 사업비를 경과이자(매월 월계약해당일의 적립액에서 이미 납입한 보험료를 차감한 금액)에 비례하여 계산하는 방식으로, 각 항목별 최대금액 예시",1588-3114
