policy_id,min_age,max_age,min_coverage,max_coverage,special_notes
11,,,,,"1. 가입나이 : 만19~60세(납입기간에 따라 상이) 2. 보험기간 : 20년만기, 60, 70, 80, 100세만기 3. 납입기간 : 5, 10, 15, 20, 30년납, 60세납, 전기납 4. 납입주기 : 월납 5. 보험가격지수 기준 : 비흡연체형, 40세, 80세만기, 20년납, 주계약 가입금액 3,000만원 6. 보장범위지수 기준 : 비흡연체형, 남자 40세, 월납, 개별상품 위험보험료는 일반암 진단 1,000만원(최초1회한) 특정 고액치료비관련암 진단 1,000만원(최초1회한),  중증 갑상선암 진단 800만원(최초1회한), 특정 소액암 진단 600만원(최초1회한),  소액질병 진단 200만원(각각 최초1회한) 지급 기준으로 산출 7. 보험료 기준 : 비흡연체형, 40세, 주계약 가입금액 3,000만원, 80세만기, 20년납, 월납 *특약공시 : 부가가능한 특약 없음"
12,19,50,0,0,"1. 상품형태 : 1종(1년만기형), 2종(10년만기형) 2. 가입나이 : 만19세 ~ 50세 3. 가입한도 : 1,000만원(단일구좌) 4. 보험기간 : 1년만기, 10년만기 5. 보험료는 2종(10년만기형), 10년만기, 전기납, 월납, 가입금액 1,000만원, 나이 40세 기준입니다. 6. 보험료가격지수는 40세, 가입금액 1,000만원, 10년만기 전기납 기준입니다. 7. 보장범위지수는 40세 남자, 10년만기, 전기납, 월납, 가입금액 1,000만원 기준입니다. ※ 이 상품의 약관, 상품요약서 등 세부내용은 당사 홈페이지 상품공시실에서 확인하실 수 있습니다."
13,19,50,5000000,5000000,"1.가입나이  * 최초계약 : 만19세 ~ 50세  * 갱신계약 : 3년만기 - 22세 ~ 97세  1년만기 - 98세 ~ 99세 2. 가입한도  * 만19세 ~ 40세 : 500만원 ~ 3,500만원  * 41세 ~ 50세 : 500만원 ~ 1,500만원 3. 이 상품은 3년만기 갱신형 상품입니다. 4. 보험료는 주계약 보험가입금액 3,000만원, 40세, 3년만기, 전기납, 월납 최초계약 기준입니다. 5. 보험가격지수는 40세, 가입금액 3,000만원, 3년만기 전기납 기준입니다. 6. 보장범위지수는 40세 남자, 10년만기, 전기납, 월납, 가입금액 500만원 기준입니다. 7. 특약보험료 예시기준  - (무)ABL인터넷급성심근경색증진단특약Ⅱ(갱신형) : 가입금액 3,000만원, 3년만기, 전기납, 월납, 최초계약 - (무)ABL인터넷뇌출혈진단특약Ⅱ(갱신형) : 가입금액 3,000만원, 3년만기, 전기납, 월납, 최초계약  - (무)ABL인터넷말기신부전증진단특약(갱신형) : 가입금액 3,000만원, 3년만기, 전기납, 월납, 최초계약 ※ 이 상품의 약관, 상품요약서 등 세부내용은 당사 홈페이지 상품공시실에서 확인하실 수 있습니다."
14,,,,,"□ 필수기재사항 1. 가입나이 : 15세 ~ 60세 2. 보험기간 : 20년 만기 / 70세 만기 3. 보험료 예시기준  -피보험자 40세, 70세만기, 20년 월납 (요양병원암입원특약의 경우 3년만기 갱신형)  주보험 보장계약 보험가입금액 2,500만원  □ 선택기재사항 1. 보험가격지수 기준  - 40세, 보험기간 30년, 납입기간 20년납, 월납, 보험가입금액 2,500만원 2. 보장범위지수 기준  - 남자, 40세, 보험기간 10년, 납입기간 10년납, 월납"
15,,,,,"□ 필수기재사항 1. 가입나이 : - 20세 ~ 최대 60세 ※ 납입기간별로 가입나이는 차이가 있을 수 있습니다. 2. 보험기간 : 90, 100세만기 3. 보험료 예시기준 - 주보험 보험가입금액 3,000만원, 소액질병보장특약Ⅷ(무배당,무해약환급금형) 가입금액 500만원,  암사망특약Ⅲ(무배당,무해약환급금형) 가입금액 9,000만원,  고액치료비암진단특약(무배당,무해약환급금형) 가입금액 2,000만원,  40세, 90세 만기, 20년납, 월납 4. 보장범위지수 세부산출 기준  - 개별상품 위험보험료 산출시 가입금액은 주계약 1,000만원, 소액질병보장특약Ⅷ(무배당,무해약환급금형) 200만원, 고액치료비암진단특약(무배당,무해약환급금형) 1,000만원을 기준으로 산출되었습니다. □ 선택기재사항 1. 보험료 납입기간 :  - 10,15,20,30년납 2. 보험가격지수 예시기준 :  - 주보험 1종, 가입금액 3,000만원, 40세, 90세 만기, 20년납, 월납"
16,,,,,"□ 필수기재사항 1. 가입나이 - 최저 20세 ~ 최고 60세 2. 보험기간 : 최초계약 10년 만기 전기월납 , 갱신계약 1~10년만기 전기월납  ※ 최종 갱신계약의 보험기간 만료일은 피보험자의 100세 계약해당일의 전일  ※ 최종 갱신계약의 보험기간 만료일이 10년미만일 경우에는 갱신일부터 최종 갱신계약의 보험기간 만료일까지를 보험기간으로 합니다. 3. 보험료 예시기준 주보험, 최초계약,40세, 보험기간 10년 만기 갱신형, 납입기간 전기월납,  가입금액 주보험 2,500만원, 암사망특약Ⅱ(갱신형,무배당) 1,000만원,  고액치료비암진단특약Ⅱ(갱신형,무배당) 500만원  재진단암보장특약Ⅱ(갱신형,무배당) 500만원 □ 선택기재사항 1. 보험료 납입기간 : 전기납 2. 보험가격지수 예시기준 : 가입금액 2,500만원 40세 10년만기 전기납 최초계약기준 3. 보장범위지수 예시기준  남자, 40세, 월납, 최초계약 기준 ※ 암진단을 보장하는 고정부가특약을 포함"
17,,,,,"1. 가입나이 : 0세 ~ 30세(단, 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 90세만기, 100세만기 3. 보험료 예시 및 보험가격지수 산출기준 : 1종(해약환급금 미지급형V2), 2형(암보장형), 주보험 가입금액 3,000만원, (무)소액암보장특약Ⅶ 가입금액 600만원, 5세, 100세만기, 20년납, 월납 4. 보장범위지수 산출기준 : 2종(표준형), 2형(암보장형), 주보험 가입금액 1,000만원, (무)소액암보장특약Ⅶ 가입금액 200만원"
18,,,,,"1. 가입나이 : 0세 ~ 30세(단, 성별, 보험기간, 납입기간별 차등적용) 2. 보험기간 : 30세만기, 90세만기, 100세만기 3. 보험료 예시 및 보험가격지수 산출기준 : 2종(표준형), 2형(암보장형), 주보험 가입금액 3,000만원, (무)소액암보장특약Ⅶ 가입금액 600만원, 5세, 100세만기, 20년납, 월납 4. 보장범위지수 산출기준 : 2종(표준형), 2형(암보장형), 주보험 가입금액 1,000만원, (무)소액암보장특약Ⅶ 가입금액 200만원, 40세 남자, 10년만기, 전기납, 월납"
19,,,1000000,0,"■필수기재사항 1. 가입나이 : 15~최대80세(납입기간별로 상이함) 2. 보험기간 : 100세만기 3. 보험료 예시 : 주계약 저해약환급금형,가입금액 3,000만원, 40세, 20년납, 월납 특약 가입금액 1,000만원, 최초계약, 40세, 20년만기(갱신형), 전기월납,100세만기(비갱신형),저해약환급금형(비갱신형) (다만, 무배당 표적항암약물허가치료특약(간편가입/갱신형) 2형의 경우 10년만기(갱신형)) 4. 보장범위지수 산출시 개별상품 암진단 위험보험료는 암(기타피부암,대장점막내암,특정갑상선암,초기유방암(여성에 한함) 및 전립선암 제외) 진단보험금 1,000만원, 초기유방암(여성에 한함) 및 전립선암 진단보험금 400만원, 특정갑상선암, 양성뇌종양/경계성종양/기타피부암/대장점막내암/제자리암 진단보험금 200만원 기준으로 산출되었습니다. ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/25년납/30년납 2. 주계약 가입한도 : 100만원 ~ 10,000만원 3. 보험기간 종료일은 피보험자의 100세 계약해당일 4. 교보New헬스케어서비스 암특화형(R)"
20,,,1000000,0,"■필수기재사항 1. 가입나이 : 15~최대80세(납입기간별로 상이함) 2. 보험기간 : 100세만기 3. 보험료 예시 : 주계약 저해약환급금형,가입금액 3,000만원, 40세, 20년납, 월납 특약 가입금액 1,000만원, 최초계약, 40세, 20년만기(갱신형), 전기월납,100세만기(비갱신형),저해약환급금형(비갱신형) (다만, 무배당 표적항암약물허가치료특약(간편가입/갱신형) 2형의 경우 10년만기(갱신형)) 4. 보장범위지수 산출시 개별상품 암진단 위험보험료는 암(기타피부암,대장점막내암,특정갑상선암,초기유방암(여성에 한함) 및 전립선암 제외) 진단보험금 1,000만원, 초기유방암(여성에 한함) 및 전립선암 진단보험금 400만원, 특정갑상선암, 양성뇌종양/경계성종양/기타피부암/대장점막내암/제자리암 진단보험금 200만원 기준으로 산출되었습니다. ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/25년납/30년납 2. 주계약 가입한도 : 100만원 ~ 10,000만원 3. 보험기간 종료일은 피보험자의 100세 계약해당일 4. 교보New헬스케어서비스 암특화형(R)"
21,,,1000000,0,"■필수기재사항 1. 가입나이 : 15~최대80세(납입기간별로 상이함) 2. 보험기간 : 100세만기 3. 보험료 예시 : 주계약 저해약환급금형,가입금액 3,000만원, 40세, 20년납, 월납 특약 가입금액 1,000만원, 최초계약, 40세, 20년만기(갱신형), 전기월납, 100세만기(비갱신형), 저해약환급금형(비갱신형) (다만, 무배당 표적항암약물허가치료특약(갱신형)2형의 경우 10년만기(갱신형)) 4. 보장범위지수 산출시 개별상품 암진단 위험보험료는 암(기타피부암,대장점막내암,특정갑상선암,초기유방암(여성에 한함) 및 전립선암 제외) 진단보험금 1,000만원, 초기유방암(여성에 한함) 및 전립선암 진단보험금 400만원, 특정갑상선암, 양성뇌종양/경계성종양/기타피부암/대장점막내암/제자리암 진단보험금 200만원 기준으로 산출되었습니다. ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/25년납/30년납 2. 주계약 가입한도 : 100만원 ~ 10,000만원 3. 보험기간 종료일은 피보험자의 100세 계약해당일 4. 교보New헬스케어서비스 암특화형"
22,,,1000000,0,"■필수기재사항 1. 가입나이 : 15~최대80세(납입기간별로 상이함) 2. 보험기간 : 100세만기 3. 보험료 예시 : 주계약 저해약환급금형,가입금액 3,000만원, 40세, 20년납, 월납 특약 가입금액 1,000만원, 최초계약, 40세, 20년만기(갱신형), 전기월납, 100세만기(비갱신형), 저해약환급금형(비갱신형) (다만, 무배당 표적항암약물허가치료특약(갱신형)2형의 경우 10년만기(갱신형)) 4. 보장범위지수 산출시 개별상품 암진단 위험보험료는 암(기타피부암,대장점막내암,특정갑상선암,초기유방암(여성에 한함) 및 전립선암 제외) 진단보험금 1,000만원, 초기유방암(여성에 한함) 및 전립선암 진단보험금 400만원, 특정갑상선암, 양성뇌종양/경계성종양/기타피부암/대장점막내암/제자리암 진단보험금 200만원 기준으로 산출되었습니다. ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/25년납/30년납 2. 주계약 가입한도 : 100만원 ~ 10,000만원 3. 보험기간 종료일은 피보험자의 100세 계약해당일 4. 교보New헬스케어서비스 암특화형"
23,,,0,0,"■필수기재사항 1.가입나이: 최초계약 - 15세 ~ 최대80세 (성별로 상이함), 갱신계약 - 35세 ~ 99세 2.보험기간: 최초계약 - 20년만기(갱신형) 갱신계약 - 1~20년만기(갱신형) 3.보험료 예시 : 주계약 가입금액 3,000만원, 최초계약, 40세, 20년만기(갱신형), 전기월납 특약 가입금액 1,000만원, 최초계약, 40세, 20년만기(갱신형), 전기월납 (다만, 무배당 표적항암약물허가치료특약(간편가입/갱신형)2형의 경우 10년만기(갱신형)) 4.보장범위지수 산출시 개별상품 암진단 위험보험료는 암(기타피부암,대장점막내암,특정갑상선암,초기유방암(여성에 한함) 및 전립선암 제외) 진단보험금 1,000만원, 초기유방암(여성에 한함) 및 전립선암 진단보험금 400만원, 특정갑상선암, 양성뇌종양/경계성종양/기타피부암/대장점막내암/제자리암 진단보험금 200만원 기준으로 산출되었습니다. ■선택기재사항 1. 간편심사보험 2. 납입기간 : 전기월납 3. 주계약 가입한도 : 1,000만원 ~ 10,000만원 4. 최종 갱신계약의 보험기간 종료일은 피보험자의 100세 계약해당일 5. 교보New헬스케어서비스(암특화형)"
24,,,0,0,"■필수기재사항 1.가입나이: 최초계약 - 15세 ~ 최대80세 (성별로 상이함), 갱신계약 - 35세 ~ 99세 2.보험기간: 최초계약 - 20년만기(갱신형) 갱신계약 - 1~20년만기(갱신형) 3.보험료 예시 : 주계약 가입금액 3,000만원, 40세, 최초계약, 40세, 20년만기(갱신형), 전기월납 특약 가입금액 1,000만원, 최초계약, 40세, 20년만기(갱신형), 전기월납 (다만, 무배당 표적항암약물허가치료특약(갱신형)2형의 경우 10년만기(갱신형)) 4.보장범위지수 산출시 개별상품 암진단 위험보험료는 암(기타피부암,대장점막내암,특정갑상선암,초기유방암(여성에 한함) 및 전립선암 제외) 진단보험금 1,000만원, 초기유방암(여성에 한함) 및 전립선암 진단보험금 400만원, 특정갑상선암, 양성뇌종양/경계성종양/기타피부암/대장점막내암/제자리암 진단보험금 200만원 기준으로 산출되었습니다. ■선택기재사항 1. 납입기간 : 전기월납 2. 주계약 가입한도 : 1,000만원 ~ 10,000만원 3. 최종 갱신계약의 보험기간 종료일은 피보험자의 100세 계약해당일 4. 교보New헬스케어서비스(암특화형)"
25,15,60,,,"■필수기재사항 1. 가입나이 : 만15세 ~ 60세(보험기간, 납입기간별로 상이함) 2. 보험기간 : 10/20년만기, 60/70세만기 3. 보험료 예시 기준 : 40세가입, 70세만기, 20년납, 주계약 가입금액 3,000만원 4. 보장범위지수 예시 기준 : 40세가입, 10년만기, 전기납 5. 보장범위지수 세부산출 기준 보장범위지수 산출시 개별상품의 '암진단' 위험보험료는 암('유방암' 및 '전립선암' 제외) 진단자금 1,000만원, '유방암 또는 전립선암' 진단자금 400만원, 소액암 진단자금 100만원 기준으로 산출되었고, 개별상품의 '암입원' 위험보험료는 암 입원비 5만원, 소액암 입원비 1만원 기준으로 산출되었습니다. ※ 암 : 기타피부암, 대장점막내암, 갑상선암을 제외한 암 ■선택기재사항 1. 장애인전용보험 2.(무)암사망특약은 종속특약으로 보험료 예시에는 포함되지 아니함."
26,,,,,"1. 가입나이  - 1종(암보장형) 남자 0세~55세, 여자 0세~62세 2. 보험기간: 80세만기, 100세만기, 110세만기 3. 보험종류  - 1종(암보장형) / 2종(2대질병보장형) / 3종(3대질병보장형) 4. 보험료 및 보험가격지수 예시기준 : 40세, 80세만기, 20년납, 월납, 가입금액 3천만원, 1종(암보장형) 기준 5. 보장범위지수 예시기준 : 남자, 40세, 10년만기, 10년납 기준"
27,,,,,"1. 보험기간 : 10,20,30년 만기(최초계약), 5년 만기, 100세 만기(갱신계약) 2. 보험종류 : 최초계약, 갱신계약 3. 가입나이 : 15세 ~ 75세(최초계약), 25세 ~ 99세(갱신계약) 4. 납입기간 : 전기납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 가입금액 3,000만원, 40세, 20년만기, 20년납, 월납 7. 보험료 산출기준 : 가입금액(주보험 5,000만원, 유사암진단특약 1,000만원), 40세, 30년만기, 30년납, 월납 8. 보장범위지수 산출기준 : 남자, 40세, 10년만기, 10년납, 월납, 가입금액(주보험 1,000만원, 유사암진단특약 200만원) 9. 특이사항 : 암 걱정없는 암치료보험(갱신형) 무배당은 주계약 암(유사암 제외) 진단 보장 및 특약 부가를 통하여 암 치료 전 여정을 보장하는 암보험입니다. 암의 발생 이전 암 검사, 진단, 수술, 입원, 통원, 항암치료 및 항암치료 이후 부작용 보장까지 암의 치료 과정에서 발생할 수 있는 다양한 위험을 보장합니다."
28,,,,,"1. 보험기간 : 80, 90, 100세 만기(기본형, 해약환급금이 없는 유형), 10년 만기(갱신형 최초계약), 5년 만기, 100세 만기(갱신형 갱신계약) 2. 보험종류 : 기본형, 해약환급금이 없는 유형, 갱신형 3. 가입나이 : 0 ~ 60세(기본형, 해약환급금이 없는 유형, 갱신형 최초계약), 10 ~ 99세(갱신형 갱신계약) 4. 납입기간 : 10,15,20, 25, 30년납, 전기납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 갱신형, 가입금액 3,000만원, 40세, 10년만기, 전기납, 월납 7. 보험료 산출기준 : 갱신형, 가입금액 3,000만원, 40세, 10년만기, 전기납, 월납 8. 보장범위지수 산출기준 : 남자, 40세, 10년만기, 10년납, 월납 (위험보험료 진단금 기준 : 일반암 1,000만원, 여성유방암 또는 전립선암 200만원, 유사암(기타피부암, 갑상선암(중증갑상선암 제외), 대장점막내암, 비침습방광암, 제자리암 및 경계성종양) 100만원) 9. 특약 보험기간, 납입기간: 10년만기, 10년납 10. 특이사항 : 「온라인 암보험 무배당」은 주계약의 암진단보험금을 중심으로 고액암진단 및 각종 항암치료관련 특약을 부가해 암진단부터 암치료까지 폭넓은 보장을 설계할 수 있는 상품입니다."
